index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen
1,2009,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,
2,2010,La Economía del Ocio como una alternativa de economía normativa para contribuir al Desarrollo Sustentable,"Rivera, Elizabeth",2 MB,http://saber.ucv.ve/handle/10872/16245,http://saber.ucv.ve/bitstream/10872/16245/1/TG-EE%20-%20copia.pdf,
3,27-May-2011,Estudio de la influencia de las condiciones de preparación de catalizadores de ru/zeolita-y y ru/ al2 o3 en reacciones de hidrotratamiento,"Fernández, Fernando J.",1.78 MB,http://saber.ucv.ve/handle/10872/33,http://saber.ucv.ve/bitstream/10872/33/1/tesis%20%20%20fin%20ii.pdf,
4,27-May-2011,"Diseño de estrategias para optimizar la calidad de los servicios de la Biblioteca Marcel Roche del Instituto Venezolano de Investigaciones Científicas (IVIC), 2006.","Echezuria Perozo, Jorge E.; Rondon, María C.; Gutierrez Luna, Melany",3.02 MB,http://saber.ucv.ve/handle/10872/28,http://saber.ucv.ve/bitstream/10872/28/1/TL-EBA_jun2006_E2.pdf,
5,27-May-2011,Desarrollo de un algoritmo computacional para determinar el efecto de la deposición de parafina sobre el gradiente de presión de flujo multifásico en tuberías,"D'Amico, Walter F.",506.32 kB,http://saber.ucv.ve/handle/10872/32,http://saber.ucv.ve/bitstream/10872/32/1/Tesis%20de%20Grado%20de%20Walter%20D%27Amico.PDF,
6,27-May-2011,"Evaluación geofísica integral de los conos aluviales en Macuto, Caraballeda y Tanaguarenas","Cragno, Analia V.; Romero, Marcos A.",3.02 MB,http://saber.ucv.ve/handle/10872/31,http://saber.ucv.ve/bitstream/10872/31/1/Evaluaci%c3%b3n%20Geof%c3%adsica%20Integral_noPW.pdf,
