index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link
109,22-Jun-2011,Aplicación de la metodología VCD (visualización conceptualización y definición) en la elaboración del programa de perforación de un pozo de la localización CS-54 del campo Guafita de la unidad explotación Apure del distrito sur de PDVSA,"Patiño P., José L.; Pérez P., Salvador de J.",9.81 MB,http://saber.ucv.ve/handle/10872/202,http://saber.ucv.ve/bitstream/10872/202/1/Trabajo%20Especial%20de%20Grado.pdf
110,22-Jun-2011,Evaluación de las propiedades mecánicas de sistemas de cemento reforzados con fibras,"Martín C., José J.",1.09 MB,http://saber.ucv.ve/handle/10872/192,http://saber.ucv.ve/bitstream/10872/192/1/EVALUACI%c3%93N%20DE%20LAS%20PROPIEDADES%20MEC%c3%81NICAS%20DE%20SISTEMAS%20DE%20CEMEN.pdf
111,22-Jun-2011,"Estilos estructurales de un área ubicada al sur de Maturín, Edo. Monagas","Paredes M., Ana L.",84.35 MB,http://saber.ucv.ve/handle/10872/201,http://saber.ucv.ve/bitstream/10872/201/1/TESIS%20ANA%20PAREDES%20MENDEZ.pdf
112,22-Jun-2011,Obtención de registros sintéticos de pozo mediante el empleo de algoritmos de redes neuronales,"Mata A., Luis S.",7.55 MB,http://saber.ucv.ve/handle/10872/193,http://saber.ucv.ve/bitstream/10872/193/1/lsmata_TEG.pdf
113,22-Jun-2011,Evaluación de materiales cementantes para pozos de petróleo y o gas con propiedades antimigratorias de gas,"Márquez F., Geilhy Z.",1.72 MB,http://saber.ucv.ve/handle/10872/191,http://saber.ucv.ve/bitstream/10872/191/1/TEG%20GEILHY.pdf
114,22-Jun-2011,Estudio riguroso del sistema de distribución de gas metano ramal Guarenas – Guatire de PDVSA–GAS.,"Orellana O., Irma T.",4.26 MB,http://saber.ucv.ve/handle/10872/199,http://saber.ucv.ve/bitstream/10872/199/1/Irma%20Orellana%28Tesis%20de%20Grado%29.pdf
115,22-Jun-2011,"Estudio para el mejoramiento de productividad de los pozos del área mayor de Socororo, mediante la aplicación de métodos de levantamiento artificial","Marques S., David A.; Rondón A., María A.",5.25 MB,http://saber.ucv.ve/handle/10872/190,http://saber.ucv.ve/bitstream/10872/190/1/Texto%20completo.pdf
116,22-Jun-2011,"Análisis técnico operacional para el uso de las unidades multipropósito en la rehabilitación de pozos del Distrito Sur, PDVSA Barinas","Maldonado S., Daniel A.",7.99 MB,http://saber.ucv.ve/handle/10872/189,http://saber.ucv.ve/bitstream/10872/189/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20%28UMP%29.pdf
117,22-Jun-2011,"Interpretación estratigráfica del área Socororo oeste del convenio Socororo, operado por PETROUCV, Edo. Anzoátegui.","Morales M., Erica",4.06 MB,http://saber.ucv.ve/handle/10872/197,http://saber.ucv.ve/bitstream/10872/197/1/TESIS%20ERICA%20MORALES.pdf
118,22-Jun-2011,Respuesta al conformado en caliente bajo condiciones de velocidad de deformación variable de un acero ARMCO,"Lugo Ch., Nayar A.",3.23 MB,http://saber.ucv.ve/handle/10872/188,http://saber.ucv.ve/bitstream/10872/188/1/Tesis-Nayar%20Lugo.pdf
119,22-Jun-2011,Evaluación del modelo de mezcla y predicción de calidades de gasolinas formuladas en la Refinería Amuay,"Lobo P., Raúl A.",2.77 MB,http://saber.ucv.ve/handle/10872/187,http://saber.ucv.ve/bitstream/10872/187/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf
