,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,dates
14,5578,2017-03-31,"Estudio de la formación de los complejos de Vanadio (IV). Sistema VO2+ - Triptófano (Trp) (KCl 3.0 M, 25 °C)","Pedroza G., Carmen F.",847.31 kB,http://saber.ucv.ve/handle/10872/15587,http://saber.ucv.ve/bitstream/10872/15587/1/T.E.G.%20Br.%20Carmen%20Pedroza.pdf,,thesis_pdf_all/5578.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-03-31
15,5605,2017-04-05,Determinación de la importancia de los compuestos atrapados en las propiedades de los asfaltenos,"Sandoval Venegas, Karina",1.89 MB,http://saber.ucv.ve/handle/10872/15629,http://saber.ucv.ve/bitstream/10872/15629/1/Seminario%20II%20-%20TEG%20Karina%20Sandoval.pdf,,thesis_pdf_all/5605.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-05
16,5606,2017-04-05,"Estudio de las diferentes estrategias de muestreo para la determinacion de hidrocarburos aromáticos policíclicos, en ambientes de trabajo de cocinas comerciales (calidad de aire interior)","Vázquez Fernández, María del Carmen",3.59 MB,http://saber.ucv.ve/handle/10872/15633,http://saber.ucv.ve/bitstream/10872/15633/1/TEG%20CAR%20portada%20y%20firma%20tutores.pdf,,thesis_pdf_all/5606.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-05
17,5607,2017-04-05,"Estudio de los complejos de valencia mixta de V (IV, V) con el ácido glutámico por medio de medidas de fuerzas electromotrices (25 °C, KCl 3.0 M)","Espinoza, Ana Carolina",1.7 MB,http://saber.ucv.ve/handle/10872/15630,http://saber.ucv.ve/bitstream/10872/15630/1/TEG.pdf,,thesis_pdf_all/5607.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-05
18,5625,2017-04-17,Nanopartículas de paladio estabilizadas en líquidos iónicos sintetizadas por vía química y electroquímica. Estudio comparativo y determinación de la actividad catalítica en reacciones de hidrogenación de olefinas,"Rojas Pinzón, Raiza Raquel",3.01 MB,http://saber.ucv.ve/handle/10872/15671,http://saber.ucv.ve/bitstream/10872/15671/1/TEG%20RAIZA%20ROJAS.pdf,,thesis_pdf_all/5625.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-17
19,5624,2017-04-17,Modificación estructural del anillo a de compuestos tipo androstanos,"Silva Ramos, Marco Antonio",1.89 MB,http://saber.ucv.ve/handle/10872/15670,http://saber.ucv.ve/bitstream/10872/15670/1/Tesis%20Marco%20Silva.pdf,,thesis_pdf_all/5624.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-17
20,5623,2017-04-17,"Estudio de la calidad del agua del humedal costero, Laguna de Tacarigua, Edo. Miranda, Venezuela.","Diaz Zambrano, Sandra Yamilet",3.06 MB,http://saber.ucv.ve/handle/10872/15669,http://saber.ucv.ve/bitstream/10872/15669/1/TEG%20SANDRA%20DIAZ.pdf,,thesis_pdf_all/5623.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-17
21,5622,2017-04-17,Estudio de formación de complejos ternarios de V(III) con acido 6 metilpicolinico en componentes del plasma sanguíneo de bajo peso molecular,"Machado A., Joseph M.",1.68 MB,http://saber.ucv.ve/handle/10872/15668,http://saber.ucv.ve/bitstream/10872/15668/1/TEG%20Joseph%20Machado.pdf,,thesis_pdf_all/5622.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-17
22,5621,2017-04-07,"Estudios de formación de complejos ternarios entre el sistema níquel (II) - ácido picolínico y los aminoácidos: prolina, glicina, α–alanina y β–alanina, mediante medidas de EMF (H) en NaCl 1,0 M A 25°C.","Martínez Duran, Diomka Paloma",2.57 MB,http://saber.ucv.ve/handle/10872/15651,http://saber.ucv.ve/bitstream/10872/15651/1/TEG%20Quimica.pdf,,thesis_pdf_all/5621.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
23,5619,2017-04-07,"Estudio de la reducción de vanadio (V) en el sistema H+-VO2+-oxalato, KCl 3,0 M y 25ºC","González Rodríguez, José Ignacio",1.69 MB,http://saber.ucv.ve/handle/10872/15656,http://saber.ucv.ve/bitstream/10872/15656/1/TEG%20JoseIgnacioGonzalez2012.pdf,,thesis_pdf_all/5619.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
24,5618,2017-04-07,"Estudio de las propiedades catalíticas del complejo trans-[RhCl(CO)(PPh3)2], en medio homogéneo e inmovilizado sobre poli(4-vinilpiridina), en la reacción de hidrodeshalogenación de halobencenos","Hidalgo Bustamante, Adriana de Jesús",1.27 MB,http://saber.ucv.ve/handle/10872/15655,http://saber.ucv.ve/bitstream/10872/15655/1/TEG.pdf,,thesis_pdf_all/5618.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
25,5617,2017-04-07,Hidrogenación enantioselectiva de sustratos orgánicos proquirales utilizando como catalizador nanopartículas de rodio estabilizadas con DIOP-Si y CO-estabilizadas con el liquido iónico hexafluorofosfato de 1-alquil-4-picolinio,"Gómez Ramírez, Francis Betzabeth",2.08 MB,http://saber.ucv.ve/handle/10872/15654,http://saber.ucv.ve/bitstream/10872/15654/1/TEG%20FRANCIS%20GOMEZ.pdf,,thesis_pdf_all/5617.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
26,5616,2017-04-07,"Relación hierro-carbono-fósforo a lo largo de un gradiente de perturbación en los bosques húmedos de la reserva forestal de Imataca, Edo. Bolívar- Venezuela","Custodio Alvarado, Sissy Emperatriz",776.11 kB,http://saber.ucv.ve/handle/10872/15653,http://saber.ucv.ve/bitstream/10872/15653/1/TESIS%20FINAL.pdf,,thesis_pdf_all/5616.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
27,5615,2017-04-07,Desarrollo de sistemas catalíticos a base de níquel: aplicación al reformado de metano,"Aliendres Gómez, Francis Andreina",2.41 MB,http://saber.ucv.ve/handle/10872/15652,http://saber.ucv.ve/bitstream/10872/15652/1/TEG.pdf,,thesis_pdf_all/5615.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
28,5614,2017-04-07,Empleo de la química computacional en la relación comportamiento-estructura molecular de aditivos antidesgaste en un sistema binario compuesto por base lubricante y aditivo,"Atars, Gleisy",696.48 kB,http://saber.ucv.ve/handle/10872/15657,http://saber.ucv.ve/bitstream/10872/15657/1/tesis.pdf,,thesis_pdf_all/5614.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-07
29,5635,2017-04-18,"Estudio de formación de complejos de vanadio (IV) con el ácido trans-1,2-diaminociclohexano-N,N,N´,N´-tetraacético (CDTA)","Miranda, Dubrazka",856.76 kB,http://saber.ucv.ve/handle/10872/15676,http://saber.ucv.ve/bitstream/10872/15676/1/TEG%20con%20agrad%20y%20dedic.pdf,,thesis_pdf_all/5635.pdf,True,True,False,escuela de quimica,Escuela de Química,2017-04-18
30,1,2009-01-01,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,,thesis_pdf_all/1.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2009-01-01
31,5953,2017-10-05,Diseño y construcción de un cargador de baterías,"Arrieta P., Simón José A.",4.18 MB,http://saber.ucv.ve/handle/10872/16622,http://saber.ucv.ve/bitstream/10872/16622/1/TEG%20Arrieta%20P.%2c%20Sim%c3%b3n%20Jos%c3%a9%20A..pdf,,thesis_pdf_all/5953.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
32,5962,2017-10-05,"Propuesta para la migración a red de voz, datos y video sobre IP en El Complejo Generador Josefa Joaquina Sánchez Bastidas (CGJJSB)","Dickxon’s J., Linares V.",1.36 MB,http://saber.ucv.ve/handle/10872/16619,http://saber.ucv.ve/bitstream/10872/16619/1/TEG%20Dickxon%e2%80%99s%20J.%20Linares%20V..pdf,,thesis_pdf_all/5962.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
