,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
6426,7509,2019-02-26,Desarrollo de un sistema de gestión de procesos de negocios (BPM) para la selección y evaluación de desempeño del talento humano a partir del Repositorio Ontológico de perfiles de cargo,"Vázquez Acosta, Iván Alejandro; Valdespino Ramos, Mariana",5.54 MB,http://saber.ucv.ve/handle/10872/19645,http://saber.ucv.ve/bitstream/10872/19645/1/TESIS%20Sistema%20BPM%20-%20Versi%c3%b3n%20Final%20-%20IVMV.pdf,,thesis_pdf_all/7509.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui
6432,7514,2019-03-06,Desarrollo de una solución de inteligencia de negocio para los indicadores del proceso de inspección de vehículos de empresas de seguros,"Hernández, Luis",3.26 MB,http://saber.ucv.ve/handle/10872/19658,http://saber.ucv.ve/bitstream/10872/19658/1/Tesis_Luis_Hernandez.pdf,,thesis_pdf_all/7514.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui
6914,8039,2020-01-14,Desarrollo de modelo de arquitectura orientada a servicios para la gestión de procesos de negocio. Caso de Estudio: gestión de proyectos,"Carbajo Veramendi, Clayton Erikson",3.26 MB,http://saber.ucv.ve/handle/10872/20504,http://saber.ucv.ve/bitstream/10872/20504/1/TEG-ClaytonCarbajo.pdf,,thesis_pdf_all/8039.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui
6922,8035,2020-01-14,"desarrollo de una solución de inteligencia de negocio (BI), para automatizar la generación y visualización de indicadores del área de conocimiento gestión de costos, del estándar PMBOK de dirección de proyectos","Molina Izarra, Vanessa Alejandra",3.1 MB,http://saber.ucv.ve/handle/10872/20500,http://saber.ucv.ve/bitstream/10872/20500/1/Tesis_Vanessa_Molina_23691134.pdf,,thesis_pdf_all/8035.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui
6925,8038,2020-01-14,Desarrollo de una solución de inteligencia de negocio (BI) para automatizar los indicadores que miden el rendimiento de los procesos de poblamiento del almacén de datos,"Lemus, Jorge",4.7 MB,http://saber.ucv.ve/handle/10872/20503,http://saber.ucv.ve/bitstream/10872/20503/1/Tesis_Computacion_Jorge-Lemus.pdf,,thesis_pdf_all/8038.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui
