,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
4313,5141,2017-03-08,Análisis del producto interno bruto venezolano mediante el uso de series de tiempo,"Solórzano, Manuel",5.7 MB,http://saber.ucv.ve/handle/10872/14996,http://saber.ucv.ve/bitstream/10872/14996/1/tesis-lic.pdf,,thesis_pdf_all/5141.pdf,True,True,False,escuela de matematica,Escuela de Matemática,Mairene Colina
4489,5306,2017-03-20,Análisis de las variaciones porcentuales del Índice Nacional de Precios al Consumidor mediante el uso de series temporales,"Sleiman el Zakhem, Rita",2.8 MB,http://saber.ucv.ve/handle/10872/15223,http://saber.ucv.ve/bitstream/10872/15223/1/Tesis%20-%20Rita%20Sleiman%20el%20Zakhem.pdf,,thesis_pdf_all/5306.pdf,True,True,False,escuela de matematica,Escuela de Matemática,Mairene Colina
6474,7560,2019-05-10,Modelos ARIMA para la agrupación de palabras claves usadas en el Sistema AdWords,"Fernández, Yoselin Arvelaiz",1.12 MB,http://saber.ucv.ve/handle/10872/19732,http://saber.ucv.ve/bitstream/10872/19732/1/tesis-lic.pdf,,thesis_pdf_all/7560.pdf,True,True,False,escuela de matematica,Escuela de Matemática,Mairene Colina
6475,7561,2019-05-10,Aplicación de estadística multivariada para caracterizar palabras claves de Adwords usadas por una compañía de ventas por internet,"Castillo, José Antonio",1.94 MB,http://saber.ucv.ve/handle/10872/19733,http://saber.ucv.ve/bitstream/10872/19733/1/tesis-lic.pdf,,thesis_pdf_all/7561.pdf,True,True,False,escuela de matematica,Escuela de Matemática,Mairene Colina
6514,7480,2019-02-06,Um modelo de demanda para el servicio google adwords,"Rodríguez, Carlos",980.32 kB,http://saber.ucv.ve/handle/10872/19605,http://saber.ucv.ve/bitstream/10872/19605/1/TEG.pdf,,thesis_pdf_all/7480.pdf,True,True,False,escuela de matematica,Escuela de Matemática,Mairene Colina
