index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex
5583,3-Apr-2017,Desarrollo de un sistema de información geográfica (SIG) para la dirección de catastro de la alcaldía del municipio Bolivariano Libertador,"Gorri Aguilar, Adriana Carolina; Barragán Bautista, Gonzalo Andrés",5.41 MB,http://saber.ucv.ve/handle/10872/15609,http://saber.ucv.ve/bitstream/10872/15609/1/TEG.GORRI.BARRAGAN.110529.pdf,,thesis_pdf_all/5583.pdf,True,True,False,escuela de computacion,Escuela de Computación
5538,29-Mar-2017,Implementación de los módulos de adquisición y almacenamiento de un prototipo para el archivado de sitios Web en Venezuela.,"Rivero Perdomo, Lorena Elisa; García Laguado, Jonathan Eduardo",3.97 MB,http://saber.ucv.ve/handle/10872/15541,http://saber.ucv.ve/bitstream/10872/15541/1/TESIS_Garcia-17160622_Rivero-19064474.pdf,,thesis_pdf_all/5538.pdf,True,True,False,escuela de computacion,Escuela de Computación
5501,28-Mar-2017,Diseño e implementación de un sistema para la gestión de viáticos,"Mora, César; Delgado, Viviana",1.97 MB,http://saber.ucv.ve/handle/10872/15449,http://saber.ucv.ve/bitstream/10872/15449/1/Tesis.pdf,,thesis_pdf_all/5501.pdf,True,True,False,escuela de computacion,Escuela de Computación
5496,28-Mar-2017,Sistema de información para el cálculo de la brecha de perfiles de cargos basado en ontologías,"Leal Rojas, Edgar Augusto",2.84 MB,http://saber.ucv.ve/handle/10872/15444,http://saber.ucv.ve/bitstream/10872/15444/1/FinalTegEdgar%20Final.pdf,,thesis_pdf_all/5496.pdf,True,True,False,escuela de computacion,Escuela de Computación
5728,25-May-2017,"Diseño y desarrollo de un módulo de comunicación entre el framework ruby on rails y la central telefónica por software asterisk, para el mercadeo de productos y servicios empresariales","García Mujica, Carlos Augusto",1.2 MB,http://saber.ucv.ve/handle/10872/15892,http://saber.ucv.ve/bitstream/10872/15892/1/Tesis_Carlos_Garcia.pdf,,thesis_pdf_all/5728.pdf,True,True,False,escuela de computacion,Escuela de Computación
5727,25-May-2017,Gestor de objetos de aprendizaje de contenidos abiertos de tipo práctico para el apoyo a la asignatura algoritmos y programación,"Rebete Guillermo, Osner",1.59 MB,http://saber.ucv.ve/handle/10872/15891,http://saber.ucv.ve/bitstream/10872/15891/1/Tesis%20-%20Gestor%20de%20OACA.pdf,,thesis_pdf_all/5727.pdf,True,True,False,escuela de computacion,Escuela de Computación
5726,25-May-2017,Implementación de un sistema de recomendación de frases basado en el algoritmo Slope One,"Riveros Balbi, Norman",2.6 MB,http://saber.ucv.ve/handle/10872/15890,http://saber.ucv.ve/bitstream/10872/15890/1/TEG_NormanRiveros.pdf,,thesis_pdf_all/5726.pdf,True,True,False,escuela de computacion,Escuela de Computación
5725,25-May-2017,Implantación de una plataforma de software colaborativo que permita integrar servicios ofertados por la Facultad de Ciencias,"González A., Jessica; Camacho G., Carlos",2.26 MB,http://saber.ucv.ve/handle/10872/15894,http://saber.ucv.ve/bitstream/10872/15894/1/documento_tesis.pdf,,thesis_pdf_all/5725.pdf,True,True,False,escuela de computacion,Escuela de Computación
5633,18-Apr-2017,Prototipo de un archivo de documentos digitales provenientes de la Web. Contenido Web y almacenes de datos,"Blanco Bustos, Carlos Alberto",2.34 MB,http://saber.ucv.ve/handle/10872/15689,http://saber.ucv.ve/bitstream/10872/15689/1/Documento%20de%20Tesis.pdf,,thesis_pdf_all/5633.pdf,True,True,False,escuela de computacion,Escuela de Computación
5631,18-Apr-2017,Desarrollo de Un Módulo Web Para la Gestión de Planes de Estudio en el Sistema de Gestión Académica CONEST,"Hernández C., José T.",3.77 MB,http://saber.ucv.ve/handle/10872/15691,http://saber.ucv.ve/bitstream/10872/15691/1/TEG_Hernandez%20%284%29.pdf,,thesis_pdf_all/5631.pdf,True,True,False,escuela de computacion,Escuela de Computación
5630,18-Apr-2017,Iluminación global en tiempo real basada en la voxelización de escenas con superficies difusas,"Sans Palacios, Francisco Javier",8.07 MB,http://saber.ucv.ve/handle/10872/15692,http://saber.ucv.ve/bitstream/10872/15692/1/Tesis_Francisco_Sans.pdf,,thesis_pdf_all/5630.pdf,True,True,False,escuela de computacion,Escuela de Computación
5629,18-Apr-2017,Implementación de un sistema del protocolo de configuración dinámica de Hosts con mensajes de autenticación,"Rubel Salas, David",1.41 MB,http://saber.ucv.ve/handle/10872/15687,http://saber.ucv.ve/bitstream/10872/15687/1/TEG_David_Rubel.pdf,,thesis_pdf_all/5629.pdf,True,True,False,escuela de computacion,Escuela de Computación
5628,18-Apr-2017,Desarrollo de una solución SOA-BPM para optimizar el proceso de orden de compras de una empresa del sector construcción,"Sánchez Canache, Jonatán Israel",8.68 MB,http://saber.ucv.ve/handle/10872/15685,http://saber.ucv.ve/bitstream/10872/15685/3/TEG-1.pdf,,thesis_pdf_all/5628.pdf,True,True,False,escuela de computacion,Escuela de Computación
5341,22-Mar-2017,"Modelo de Gestión de Información, de un Instituto de Investigación, basado en ITIL. Caso de estudio: INABIO","Aguiar Adamez, María Josefina",3.25 MB,http://saber.ucv.ve/handle/10872/15302,http://saber.ucv.ve/bitstream/10872/15302/1/Tesis_final_Maria_Aguiar.pdf,,thesis_pdf_all/5341.pdf,True,True,False,escuela de computacion,Escuela de Computación
