index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
4354,25-Feb-2016,"Reconstrucción de las condiciones paleoambientales de sedimentación en la formación la pascua (bloque Boyacá, faja petrolífera del orinoco) aplicando técnicas de extracciones químicas secuenciales","Mirabal Mora, Rebeca Andreina",5.4 MB,http://saber.ucv.ve/handle/10872/13496,http://saber.ucv.ve/bitstream/10872/13496/1/Manuscrito%20Rebeca%2029%20OCTUBRE%20correcciones%20jurados%201.pdf,,thesis_pdf_all/4354.pdf,True,True,False,escuela de quimica,Escuela de Química,Mauricio Hernandez
2917,10-Dec-2014,"Estudio de complejos de vanadio (V) y arginina (KCl 3.0 M, 25 °C)","Carrillo, Mairhelé",1.09 MB,http://saber.ucv.ve/handle/10872/7925,http://saber.ucv.ve/bitstream/10872/7925/1/Tesis%20%20Mairhel%c3%a9%20Carrillo.pdf,,thesis_pdf_all/2917.pdf,True,True,False,escuela de quimica,Escuela de Química,Felipe Brito
5247,15-Mar-2017,Estudio fitoquímico de los compuestos mayoritarios de las hojas frescas de la especie Plectranthus neochilus Schlechter y evaluación de su toxicidad aguda y actividad analgésica.,"Caro Ramírez, Janetsi Yamilet",2.86 MB,http://saber.ucv.ve/handle/10872/15142,http://saber.ucv.ve/bitstream/10872/15142/1/TEG%20JC%20FINAL%20DEFINITIVA%206.pdf,,thesis_pdf_all/5247.pdf,True,True,False,escuela de quimica,Escuela de Química,Maria Rodriguez
5189,13-Mar-2017,"Estudio de la concentración de mercurio en muestras de suelos y material particulado sedimentado, producto de la actividad industrial en la zona Charallave-Ocumare, estado Miranda","Sánchez Martínez, Steffany Andreina",2 MB,http://saber.ucv.ve/handle/10872/15064,http://saber.ucv.ve/bitstream/10872/15064/1/ManuscritoRYD.pdf,,thesis_pdf_all/5189.pdf,True,True,False,escuela de quimica,Escuela de Química,JESUS
5040,2-Mar-2017,"Estudio del comportamiento del coque de petróleo en presencia de especies azufradas, generadas electroquímicamente, en medio alcalino","Mora Soares, Joselin Carolina",2.56 MB,http://saber.ucv.ve/handle/10872/14765,http://saber.ucv.ve/bitstream/10872/14765/1/Trabajo%20Especial%20de%20Grado%20JOSELIN%20MORA.pdf,,thesis_pdf_all/5040.pdf,True,True,False,escuela de quimica,Escuela de Química,Jose Daniel Martinez Valera
7947,5-Dec-2019,Síntesis de (2E)-3-(2-ANILIN-3-QUINOLINIL)-1-FENIL-2-PROPEN-1- Onas sustituidas y su estudio mediante acoplamiento molecular como posibles inhibidores del dengue,"Carrero Osorio, José Leonardo",5.61 MB,http://saber.ucv.ve/handle/10872/20391,http://saber.ucv.ve/bitstream/10872/20391/1/TEG-JoseCarrero.pdf,,thesis_pdf_all/7947.pdf,True,True,False,escuela de quimica,Escuela de Química,Maria L Serrano
5616,7-Apr-2017,"Relación hierro-carbono-fósforo a lo largo de un gradiente de perturbación en los bosques húmedos de la reserva forestal de Imataca, Edo. Bolívar- Venezuela","Custodio Alvarado, Sissy Emperatriz",776.11 kB,http://saber.ucv.ve/handle/10872/15653,http://saber.ucv.ve/bitstream/10872/15653/1/TESIS%20FINAL.pdf,,thesis_pdf_all/5616.pdf,True,True,False,escuela de quimica,Escuela de Química,Noemi Chacon
4519,18-Mar-2016,"Estudios de formación de complejos ternarios entre el sistema V(III)-ácido dipicolínico y los aminoácidos serina, treonina, metionina y fenilalanina, mediante medidas de fem (H) (KCl 3,0 M, 25ºC)","Moreno P., María A.",2.93 MB,http://saber.ucv.ve/handle/10872/13765,http://saber.ucv.ve/bitstream/10872/13765/1/TEG%20Maria%20Alexmir%20Moreno.pdf,,thesis_pdf_all/4519.pdf,True,True,False,escuela de quimica,Escuela de Química,Mary Lorena Araujo
1610,18-Feb-2013,Caracterización y preparación de parafinas para inclusión de tejidos,"Sinic B., Damastes",2.28 MB,http://saber.ucv.ve/handle/10872/2749,http://saber.ucv.ve/bitstream/10872/2749/1/Caracterizaci%c3%b3n%20y%20preparaci%c3%b3n%20de%20parafinas%20para%20inclusi%c3%b3n%20de%20tejidos.pdf,,thesis_pdf_all/1610.pdf,True,True,False,escuela de quimica,Escuela de Química,Carolina
3819,14-Oct-2015,Evaluar la actividad catalítica hacia reacciones de hidrotratamiento de lco empleando catalizadores sulfurados de ni-v,"Hernández A., Ana",810.84 kB,http://saber.ucv.ve/handle/10872/12290,http://saber.ucv.ve/bitstream/10872/12290/1/Tesis%20%20Ana%20Hern%c3%a1ndez%20A..pdf,,thesis_pdf_all/3819.pdf,True,True,False,escuela de quimica,Escuela de Química,Joaquin Brito
3859,23-Oct-2015,Actividad de catalizadores en base a Co-Mo y Ni-Mo soportados por óxidos inorgánicos modificado con compuestos orgánicos,"Tillero B, Doris",1.52 MB,http://saber.ucv.ve/handle/10872/12377,http://saber.ucv.ve/bitstream/10872/12377/1/tesis%20Tillero%20Doris.pdf,,thesis_pdf_all/3859.pdf,True,True,False,escuela de quimica,Escuela de Química,"Knudsen , KG"
3836,16-Oct-2015,"Estudio de la formación de complejos ternarios entre el sistema vanadio (III) – 8-hidroxiquinolina y los aminoácidos aspártico, ácido glutámico, cisteína e histidina","Guzmán D, Luis A.",1.22 MB,http://saber.ucv.ve/handle/10872/12312,http://saber.ucv.ve/bitstream/10872/12312/1/tesis%20Luis%20A.%20Guzm%c3%a1n.pdf,,thesis_pdf_all/3836.pdf,True,True,False,escuela de quimica,Escuela de Química,Vito R Lubes
4543,24-Mar-2016,"Estudio de formación de complejos de Vanadio (V) con el Ácido Picolínico empleando medidas de fuerzas electromotrices, FEM(H) (KCL 3,0 M, 25 ºc)","Piñero Gómez, Richard E.",3.85 MB,http://saber.ucv.ve/handle/10872/13784,http://saber.ucv.ve/bitstream/10872/13784/1/TEG%20RICHARD%20PI%c3%91ERO.pdf,,thesis_pdf_all/4543.pdf,True,True,False,escuela de quimica,Escuela de Química,Julio Osuna
5340,22-Mar-2017,"Estudios de  formación  de complejos ternarios entre   el sistema V (III)-ácido salicílico y los aminoácidos serina, treonina, metionina y fenilalanina, mediante medidas de EMF(H) (KCl 3,0 M, 25ºC)","Cabeza Rios, Geraldyne Kristyna",1.49 MB,http://saber.ucv.ve/handle/10872/15298,http://saber.ucv.ve/bitstream/10872/15298/3/TEG%20%20final%20corregido-Geraldyne%20K.%20Cabeza%20R.pdf,,thesis_pdf_all/5340.pdf,True,True,False,escuela de quimica,Escuela de Química,Jose Daniel Martinez
7558,10-May-2019,Cuantificación β-Sitosterol y Lupeol por densitometría óptica en fracciones de Ruellia tuberosa . y su evaluación de la inhibición sobre el sistema enzimático glucosa-6-fosfatasa,"Rodríguez Rondón, Natasha Liduska",4.36 MB,http://saber.ucv.ve/handle/10872/19730,http://saber.ucv.ve/bitstream/10872/19730/1/Monograf%c3%ada%20ruellia.tesis%20final%20mayo2018.pdf,,thesis_pdf_all/7558.pdf,True,True,False,escuela de quimica,Escuela de Química,Dra
525,9-Nov-2011,Aplicación de la metodología de parámetros distribuidos en el análisis de protección catódica de tuberías de gran longitud,"Teixeira R., Elio R.",8.44 MB,http://saber.ucv.ve/handle/10872/740,http://saber.ucv.ve/bitstream/10872/740/1/Trabajo%20especial%20de%20grado.pdf,,thesis_pdf_all/525.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Julio Molina
5953,5-Oct-2017,Diseño y construcción de un cargador de baterías,"Arrieta P., Simón José A.",4.18 MB,http://saber.ucv.ve/handle/10872/16622,http://saber.ucv.ve/bitstream/10872/16622/1/TEG%20Arrieta%20P.%2c%20Sim%c3%b3n%20Jos%c3%a9%20A..pdf,,thesis_pdf_all/5953.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Pedro PintoPresentado
6659,21-Mar-2018,"Propuesta de diseño de una red que permita el acceso a Wifi gratis en los lugares públicos de las parroquias la Candelaria, San Agustín, San Bernardino y 23 de Enero del municipio Libertador","Palencia García, Paola Estefanía",9.33 MB,http://saber.ucv.ve/handle/10872/18021,http://saber.ucv.ve/bitstream/10872/18021/1/T.E.G.%20Paola%20E.%20Palencia%20G..pdf,,thesis_pdf_all/6659.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Luis Fernandez
4692,25-Jan-2017,Diseño de demostrador back-end para nuevo sistema radar de navegación,"Guerrero G., Gabriel G.",8.85 MB,http://saber.ucv.ve/handle/10872/14133,http://saber.ucv.ve/bitstream/10872/14133/1/T.E.G%20completo%20Guerrero%20G.%2c%20Gabriel%20G..pdf,,thesis_pdf_all/4692.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Zeldivar Bruzual
7641,13-Jun-2019,Estudio de estabilidad transitoria de los Sistemas eléctricos de potencia debido a fallas monofásicas usando el programa de simulación de código abierto MatDyn,"Mendoza R., Armando De La C.",6.08 MB,http://saber.ucv.ve/handle/10872/19914,http://saber.ucv.ve/bitstream/10872/19914/1/Cuerpo%20del%20Trabajo%20de%20grado.pdf,,thesis_pdf_all/7641.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,JULIO MOLINA
7733,30-Jul-2019,Evaluación y selección de sensores en sistemas de telemetría satelital,"Sandia I., Alexandra C.",1.4 MB,http://saber.ucv.ve/handle/10872/20088,http://saber.ucv.ve/bitstream/10872/20088/1/TEG.pdf,,thesis_pdf_all/7733.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Francisco Varela
5959,5-Oct-2017,"Estudio de los niveles de aislamiento en los motores para tracción y del grupo motor alternador, de la C.A. Metro de Caracas","Vespa Aparicio, Giovanny",8.47 MB,http://saber.ucv.ve/handle/10872/16610,http://saber.ucv.ve/bitstream/10872/16610/1/TEG%20Vespa%20Aparicio%2c%20Giovanny.pdf,,thesis_pdf_all/5959.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nerio Ojeda
3977,30-Nov-2015,Desarrollo de un sistema experto para evaluación de redes de acceso alámbrica de CANTV para la región capital,"Grimaldo V., Ronald A.",2.23 MB,http://saber.ucv.ve/handle/10872/12949,http://saber.ucv.ve/bitstream/10872/12949/1/Tesis.pdf,,thesis_pdf_all/3977.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Rafael ArruebarrenaTutor
