index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,path,isScan,school_simple,school_complex
12,31-May-2011,Influencia del recocido y temple sobre la dureza de un deposito de recargue duro del tipo EFe5-B,"Suárez B., Efren J.",3.36 MB,http://saber.ucv.ve/handle/10872/51,http://saber.ucv.ve/bitstream/10872/51/1/tesis%20efren%20suarez.pdf,thesis_pdf/12.pdf,False,No school,None
103,22-Jun-2011,"Indicadores de sustentabilidad en la toma de decisiones para creación de distritos MINEROS, aplicados a minería metálica: Au y Fe, en el estado Bolívar.","Piña D., Aurora B.",3.4 MB,http://saber.ucv.ve/handle/10872/205,http://saber.ucv.ve/bitstream/10872/205/1/TEG%20Aurora%20Pi%c3%b1a%20maxima%20seguridad.pdf,thesis_pdf/103.pdf,False,"Escuela de Geologia, Minas y Geofisica","Escuela de Geología, Minas y Geofísica"
137,23-Jun-2011,"Evaluación estadística de las actividades no productivas y sus tiempos asociados en las operaciones de perforación en las áreas San Tomé, Punta de Mata, Anaco y Maturín","Rivas J., Jormi M.",3.4 MB,http://saber.ucv.ve/handle/10872/221,http://saber.ucv.ve/bitstream/10872/221/1/Tesis%20Final.pdf,thesis_pdf/137.pdf,False,No school,None
31,1-Jun-2011,Determinación de propiedades petrofísicas y petrofacies aplicando tecnología de resonancia magnética nuclear a muestras de núcleo de las formaciones gasíferas San Juan y San Antonio del Campo Santa Rosa,"Ávila S., Daniel E.",3.42 MB,http://saber.ucv.ve/handle/10872/68,http://saber.ucv.ve/bitstream/10872/68/1/Trabajo%20Especial%20de%20Grado%20-%20Daniel%20%c3%81vila.pdf,thesis_pdf/31.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
89,15-Jun-2011,Selección de un agente desemulsificante para la deshidratación del crudo proveniente de la unidad colón del municipio Jesús María Semprúm del Estado Zulia.,"Fernández A., Orángel J.",3.44 MB,http://saber.ucv.ve/handle/10872/130,http://saber.ucv.ve/bitstream/10872/130/1/TESIS.pdf,thesis_pdf/89.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
139,23-Jun-2011,"Estudio del comportamiento de las estructuras de gel y punto cedente, en presencia de contaminantes inertes y no inertes en fluidos de perforación base aceite","Rodríguez-Acosta, Alexis",3.53 MB,http://saber.ucv.ve/handle/10872/222,http://saber.ucv.ve/bitstream/10872/222/1/Tesis%20Final.pdf,thesis_pdf/139.pdf,False,No school,None
42,3-Jun-2011,"Análisis del comportamiento de equipos utilizados en el sistema de levantamiento artificial bombeo de cavidades progresivas (BCP), en los Campos Bare y Arecuna de la unidad de extrapesado PDVSA – San Tomé.","Carrillo C., Andreína I.; González I., Carla J.",3.57 MB,http://saber.ucv.ve/handle/10872/103,http://saber.ucv.ve/bitstream/10872/103/1/TRABAJO%20DE%20ESPECIAL%20DE%20GRADO%20%28BCP%29.pdf,thesis_pdf/42.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
131,23-Jun-2011,Estudio de los efectos del revoque en la transmisión de fluidos a través de empaques de grava,"Carvajal M., Arturo; Rossetti R., Claudio E.",3.58 MB,http://saber.ucv.ve/handle/10872/228,http://saber.ucv.ve/bitstream/10872/228/1/Trabajo%20Final.pdf,thesis_pdf/131.pdf,False,No school,None
183,30-Sep-2011,"Programa de prevención de parasitosis intestinal en niños menores de cinco años en la comunidad 'El Palomar'. Municipio Tucupita, estado Delta Amacuro. Segundo semestre 2005","Milano, Marisol; Moreno, Norelis",388.65 kB,http://saber.ucv.ve/handle/10872/370,http://saber.ucv.ve/bitstream/10872/370/1/Prevenci%c3%b3n%20de%20parasitosis%20intestinal.pdf,thesis_pdf/183.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
23,31-May-2011,Algoritmos de búsqueda no lineal para diseñar arreglos direccionales de geófonos,"Silva, Carolina del V.",3.6 MB,http://saber.ucv.ve/handle/10872/50,http://saber.ucv.ve/bitstream/10872/50/1/TESIS_CAROLINASILVA.PDF,thesis_pdf/23.pdf,False,No school,None
