index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor,path_txt
2763,3-Nov-2014,Reingeniería e implementación de nuevos componentes para la aplicación de lectura y visualización de registros acústicos y resistivos (VenLog 2.0),"Martínez, Darwin J.",5.21 MB,http://saber.ucv.ve/handle/10872/7515,http://saber.ucv.ve/bitstream/10872/7515/1/Tesis%20Darwin%20J.%20Mart%c3%adnez%20L..pdf,,thesis_pdf_all/2763.pdf,True,True,False,escuela de computacion,Escuela de Computación,Alecia Eleonora Acosta,thesis_txt/2763.txt
2764,3-Nov-2014,Implementación del protocolo Secure Neighbor Discovery (SEND),"Chiu, Say Hood",6.53 MB,http://saber.ucv.ve/handle/10872/7517,http://saber.ucv.ve/bitstream/10872/7517/1/Tesis%20Say%20Hood.%20T.%20Chiu%20A..pdf,,thesis_pdf_all/2764.pdf,True,True,False,escuela de computacion,Escuela de Computación,Eric Gamess,thesis_txt/2764.txt
2704,23-Oct-2014,Desarrollo De una Mesa Interactiva de Bajo Costo Usando Webcams,"Ramírez, Jorge A.",1.89 MB,http://saber.ucv.ve/handle/10872/7409,http://saber.ucv.ve/bitstream/10872/7409/1/Tesis%20Ram%c3%adrez%20B.%20Jorge%20A..pdf,,thesis_pdf_all/2704.pdf,True,True,False,escuela de computacion,Escuela de Computación,Robinson Rivas,thesis_txt/2704.txt
2705,23-Oct-2014,"Implementación de Indicadores de Gestión para monitorear el rendimiento del proceso de Revisión Editorial, utilizando una plataforma de Inteligencia de Negocios, desarrollada en Software Libre","Moreno, Fabián E.",3.22 MB,http://saber.ucv.ve/handle/10872/7416,http://saber.ucv.ve/bitstream/10872/7416/1/Tesis%20Fabi%c3%a1n%20Eduardo%20Moreno%20Contreras.pdf,,thesis_pdf_all/2705.pdf,True,True,False,escuela de computacion,Escuela de Computación,Franky Uzcategui,thesis_txt/2705.txt
2706,27-Oct-2014,Elaboración de un Gem de Ruby que encapsule un Middleware SMS para el envío y recepción de mensajes de texto,"García, Alejandro; Astrid, Yennifer",2.38 MB,http://saber.ucv.ve/handle/10872/7449,http://saber.ucv.ve/bitstream/10872/7449/1/Tesis%20Garc%c3%ada-Astrid.pdf,,thesis_pdf_all/2706.pdf,True,True,False,escuela de computacion,Escuela de Computación,Sergio RivasCaracas,thesis_txt/2706.txt
2708,27-Oct-2014,Desarrollo de una aplicación colaborativa vía Web para reuniones electrónicas asíncronas,"Ghaleb, Yolibert C.",4.27 MB,http://saber.ucv.ve/handle/10872/7447,http://saber.ucv.ve/bitstream/10872/7447/1/Tesis%20Yolibert%20Coromoto%20Ghaleb%20Saba.pdf,,thesis_pdf_all/2708.pdf,True,True,False,escuela de computacion,Escuela de Computación,Nora Montano,thesis_txt/2708.txt
2748,31-Oct-2014,Implementación de un dispositivo integrado de seguridad UTM y evaluación de la factibilidad de su configuración a través de la metodología de intrusión LPT,"Dávila, Luis A.",3.15 MB,http://saber.ucv.ve/handle/10872/7508,http://saber.ucv.ve/bitstream/10872/7508/1/Tesis%20Luis%20A.%20D%c3%a1vila%20B..pdf,,thesis_pdf_all/2748.pdf,True,True,False,escuela de computacion,Escuela de Computación,Eudes Carrero Moreno,thesis_txt/2748.txt
2747,31-Oct-2014,Adecuación de la modelación ágil reutilizando componentes en construcción de interfaces de usuario. Caso de estudio: Registro de publicaciones periódicas.,"Marín, Draumari I.",6.22 MB,http://saber.ucv.ve/handle/10872/7510,http://saber.ucv.ve/bitstream/10872/7510/1/Tesis%20Draumari%20Isabel%20Mar%c3%adn%20Far%c3%adas.pdf,,thesis_pdf_all/2747.pdf,True,True,False,escuela de computacion,Escuela de Computación,Nora Montano,thesis_txt/2747.txt
2746,31-Oct-2014,Simulación de la respuesta sísmica 2D de la región Maracay-Valencia empleando un método de elementos espectrales,"Osorio, Gregorio A.",18.8 MB,http://saber.ucv.ve/handle/10872/7506,http://saber.ucv.ve/bitstream/10872/7506/1/Tersis%20Gregorio%20A.%20Osorio%20L..pdf,,thesis_pdf_all/2746.pdf,True,True,False,escuela de computacion,Escuela de Computación,Otilio RojasAsesor,thesis_txt/2746.txt
2745,31-Oct-2014,Desarrollo de la Aplicación de Gestión Académica CONEST 2.0: Módulo Administrativo,"Belfort, Pablo J.; Ojeda, Lucía V.",1.85 MB,http://saber.ucv.ve/handle/10872/7504,http://saber.ucv.ve/bitstream/10872/7504/1/Tesis%20Belfort-Ojeda.pdf,,thesis_pdf_all/2745.pdf,True,True,False,escuela de computacion,Escuela de Computación,Rivas Sergio,thesis_txt/2745.txt
2665,9-Oct-2014,Desarrollo de una herramienta para el monitoreo de eventos y actividades de usuarios en aplicaciones Web,"Castro, Andrés",1.48 MB,http://saber.ucv.ve/handle/10872/7290,http://saber.ucv.ve/bitstream/10872/7290/1/Tesis%20Ricardo%20Hergueta.pdf,,thesis_pdf_all/2665.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ricardo C Hergueta,thesis_txt/2665.txt
2666,9-Oct-2014,Iluminación global en tiempo real basada en la voxelización de escenas con superficies difusas,"Sans, Francisco",8.07 MB,http://saber.ucv.ve/handle/10872/7295,http://saber.ucv.ve/bitstream/10872/7295/1/Tesis%20Francisco%20Sans.pdf,,thesis_pdf_all/2666.pdf,True,True,False,escuela de computacion,Escuela de Computación,Esmitt RamirezCaracas,thesis_txt/2666.txt
2667,9-Oct-2014,"Sistema de historia médica electrónica, Programa SOS Telemedicina para Venezuela","Prieto, Armando A.; Rodríguez, Ángel A.",6.27 MB,http://saber.ucv.ve/handle/10872/7292,http://saber.ucv.ve/bitstream/10872/7292/1/Tesis%20Prieto-Rodr%c3%adguez.pdf,,thesis_pdf_all/2667.pdf,True,True,False,escuela de computacion,Escuela de Computación,Robinson Rivas,thesis_txt/2667.txt
2668,9-Oct-2014,Colocación virtual del marco estereotáctico en la radiocirugía estereotáctica,"Mena, Christiam A.",3.79 MB,http://saber.ucv.ve/handle/10872/7296,http://saber.ucv.ve/bitstream/10872/7296/1/Tesis%20Chistiam%20Mena.pdf,,thesis_pdf_all/2668.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ernesto Coto,thesis_txt/2668.txt
2669,9-Oct-2014,Escáner 3D de bajo costo empleando Webcams,"Narváez, Astrid C.",5.3 MB,http://saber.ucv.ve/handle/10872/7297,http://saber.ucv.ve/bitstream/10872/7297/1/Teisis%20Celeste%20Narv%c3%a1ez.pdf,,thesis_pdf_all/2669.pdf,True,True,False,escuela de computacion,Escuela de Computación,Esmitt Ramirez,thesis_txt/2669.txt
2700,23-Oct-2014,Una aplicación para reconocimiento óptico de caracteres (OCR) bajo el enfoque de computación en la nube,"Rivero, Antonio E.; Palacios, Evander G.",11.11 MB,http://saber.ucv.ve/handle/10872/7418,http://saber.ucv.ve/bitstream/10872/7418/1/Tesis%20Rivero-Palacios.pdf,,thesis_pdf_all/2700.pdf,True,True,False,escuela de computacion,Escuela de Computación,Claudia Leon,thesis_txt/2700.txt
