index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
4630,15-Dec-2016,La discriminación de género en la educación. Propuestas para la coeducación de la equidad de género en la Escuela Bolivariana “Lara” de Barquisimeto,"Pizarro D., Miguel A.",3.22 MB,http://saber.ucv.ve/handle/10872/13955,http://saber.ucv.ve/bitstream/10872/13955/1/Completo.pdf,,thesis_pdf_all/4630.pdf,True,True,False,escuela de educacion
4629,14-Dec-2016,Propuesta para incentivar los valores morales en estudiantes de un liceo bolivariano,"López R., Milagros C.; Peña C., Omaira C.",1.56 MB,http://saber.ucv.ve/handle/10872/13950,http://saber.ucv.ve/bitstream/10872/13950/1/TESIS%20COMPLETA.pdf,,thesis_pdf_all/4629.pdf,True,True,False,escuela de educacion
4628,14-Dec-2016,Programa de estrategias de enseñanza para promover valores sociales y morales,"Chereno, Irma; Torres, Aura",9.14 MB,http://saber.ucv.ve/handle/10872/13949,http://saber.ucv.ve/bitstream/10872/13949/1/tesis%20completa.pdf,,thesis_pdf_all/4628.pdf,True,True,False,escuela de educacion
4627,14-Dec-2016,"Elaboración de un manual de estilo para el diseño de cuadernillos del Laboratorio de Formación y Construcción de Saberes del Instituto de las Artes Escénicas y Musicales, IAEM. Informe de pasantía","Uzcátegui, Beatriz",8.18 MB,http://saber.ucv.ve/handle/10872/13948,http://saber.ucv.ve/bitstream/10872/13948/1/Informe%20Pasantia%20Beatriz%20Uzc%c3%a1tegui%20LETRAS%20completo.pdf,,thesis_pdf_all/4627.pdf,True,True,False,escuela de letras
4626,13-Dec-2016,La escuela para padres como propuesta didáctica. Caso: E. B. “Martin Luther King”,"Luna, Rosa; Peña, Xiomara; Salgado, María",5.57 MB,http://saber.ucv.ve/handle/10872/13939,http://saber.ucv.ve/bitstream/10872/13939/1/Completa.pdf,,thesis_pdf_all/4626.pdf,True,True,False,escuela de educacion
4625,13-Dec-2016,"Caracterizaciones didácticas de trayectorias de aprendizaje en matemáticas, mediante el uso de ingeniería didáctica en séptimo grado","Nieves, Adelis",6.96 MB,http://saber.ucv.ve/handle/10872/13940,http://saber.ucv.ve/bitstream/10872/13940/1/Completo.pdf,,thesis_pdf_all/4625.pdf,True,True,False,escuela de educacion
4624,13-Dec-2016,Concepciones y conocimientos pedagógicos que manejan y producen docentes en la enseñanza de la química,"Rivas H., Issarly D.; Rodrigues G., Susana",1.27 MB,http://saber.ucv.ve/handle/10872/13941,http://saber.ucv.ve/bitstream/10872/13941/1/TESIS%20ESPECIAL%20DE%20GRADO%20PDF.pdf,,thesis_pdf_all/4624.pdf,True,True,False,escuela de educacion
4623,13-Dec-2016,La concepción de la enseñanza en profesores universitarios y su producción pedagógica,"Sánchez, Mérida T.",4.76 MB,http://saber.ucv.ve/handle/10872/13942,http://saber.ucv.ve/bitstream/10872/13942/1/TESIS%20DE%20MERIDA%20EDUCACION.pdf,,thesis_pdf_all/4623.pdf,True,True,False,escuela de educacion
4622,12-Dec-2016,"Procedimiento de la fiscalización y determinación de ingresos nacionales, aplicado por la Contraloría General de la República en el marco del Código Orgánico Tributario","Bolívar B., José G.",522.23 kB,http://saber.ucv.ve/handle/10872/13936,http://saber.ucv.ve/bitstream/10872/13936/1/TESISUCV-DEF%20FORMATO%20PDF.pdf,,thesis_pdf_all/4622.pdf,True,True,False,No School
4621,12-Dec-2016,"Catálogo razonado de los grabados de Stefano Della Bella (1610-1664), una colección de la Fundación Museos Nacionales-Museo de Bellas Artes de Caracas","Blanco N., Barbara; Del Río, Rodrigo F.",94.7 MB,http://saber.ucv.ve/handle/10872/13930,http://saber.ucv.ve/bitstream/10872/13930/1/FINAL.pdf,,thesis_pdf_all/4621.pdf,True,True,False,escuela de artes
