index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
2,2010,La Economía del Ocio como una alternativa de economía normativa para contribuir al Desarrollo Sustentable,"Rivera, Elizabeth",2 MB,http://saber.ucv.ve/handle/10872/16245,http://saber.ucv.ve/bitstream/10872/16245/1/TG-EE%20-%20copia.pdf,,thesis_pdf_all/2.pdf,True,True,False,escuela de economia
1597,14-Feb-2013,El reportaje informativo en la sección Cultural del Nacional: Sus Características (1990-1999),"Arroyo, María V.",4.88 MB,http://saber.ucv.ve/handle/10872/2733,http://saber.ucv.ve/bitstream/10872/2733/1/Tesis%20CO7%20A7.pdf,,thesis_pdf_all/1597.pdf,True,True,False,escuela de comunicacion social
1626,21-Feb-2013,“El Perro de la Discordia” Guion cinematográfico basado en un cuento literario,"Medina, Miguel Á.",917.95 kB,http://saber.ucv.ve/handle/10872/2768,http://saber.ucv.ve/bitstream/10872/2768/1/Tesis%20CO9%20M4.pdf,,thesis_pdf_all/1626.pdf,True,True,False,escuela de comunicacion social
1625,21-Feb-2013,28 DÍAS. La excepción de la regla. Proyecto de realización de diseño de una revista,"Guerrero, Rosleidy; Zea, Sendai",2.06 MB,http://saber.ucv.ve/handle/10872/2767,http://saber.ucv.ve/bitstream/10872/2767/1/Tesis%20CO9%20G82.pdf,,thesis_pdf_all/1625.pdf,True,True,False,escuela de comunicacion social
1624,21-Feb-2013,La radionovela caraqueña del siglo XXI.  Un espacio para la divulgación de clásicos de la literatura,"Flores, Robert",1.7 MB,http://saber.ucv.ve/handle/10872/2766,http://saber.ucv.ve/bitstream/10872/2766/1/Tesis%20CO9%20F5.pdf,,thesis_pdf_all/1624.pdf,True,True,False,escuela de comunicacion social
1623,19-Feb-2013,Diseño y desarrollo de un webzine en el contexto de la web 2.0 que sirva de punto de encuentro de una comunidad por afinidad Caso de estudio: Aficionados a la ilustración,"Balza, Jeannette; Páez, Ariane",25.6 MB,http://saber.ucv.ve/handle/10872/2764,http://saber.ucv.ve/bitstream/10872/2764/1/Completo.pdf,,thesis_pdf_all/1623.pdf,True,True,False,escuela de comunicacion social
1622,19-Feb-2013,Visión sin límites: Serie de micros radiofónicos,"Velásquez, Maried",1.15 MB,http://saber.ucv.ve/handle/10872/2763,http://saber.ucv.ve/bitstream/10872/2763/1/Tesis%20CO8%20V3.pdf,,thesis_pdf_all/1622.pdf,True,True,False,escuela de comunicacion social
1621,19-Feb-2013,El Metrocable ¿Una Solución Integral para San Agustín del Sur? (Micros Radiofónicos),"Rosas, Janohi",2 MB,http://saber.ucv.ve/handle/10872/2762,http://saber.ucv.ve/bitstream/10872/2762/1/Tesis%20CO8%20R64.pdf,,thesis_pdf_all/1621.pdf,True,True,False,escuela de comunicacion social
1620,19-Feb-2013,Propuesta para campaña publicitaria de lanzamiento de licor cremoso de parchita,"Sánchez, Aurora R.",16.23 MB,http://saber.ucv.ve/handle/10872/2761,http://saber.ucv.ve/bitstream/10872/2761/1/Tesis%20CO8%20R4.pdf,,thesis_pdf_all/1620.pdf,True,True,False,escuela de comunicacion social
1619,19-Feb-2013,Propuesta de señalización turística para la Península de Paraguaná,"Ortiz, Hevis A.",3.99 MB,http://saber.ucv.ve/handle/10872/2759,http://saber.ucv.ve/bitstream/10872/2759/1/Tesis%20CO8%20O71.pdf,,thesis_pdf_all/1619.pdf,True,True,False,escuela de comunicacion social
1618,19-Feb-2013,Jardín Botánico de Caracas un laboratorio para la educación ambiental (Diseño de una propuesta audiovisual interactiva dirigido al público visitante y usuario en edades de 6 a 12 años),"Moreno, Jacqueline; Villamizar, Carla",1.38 MB,http://saber.ucv.ve/handle/10872/2757,http://saber.ucv.ve/bitstream/10872/2757/1/Tesis%20CO8%20M62.pdf,,thesis_pdf_all/1618.pdf,True,True,False,escuela de comunicacion social
1617,19-Feb-2013,Caruao: Un pequeño pueblo recinto de gran turismo (Documental audiovisual),"Martínez, Hipólito",1.03 MB,http://saber.ucv.ve/handle/10872/2756,http://saber.ucv.ve/bitstream/10872/2756/1/Tesis%20CO8%20M34.pdf,,thesis_pdf_all/1617.pdf,True,True,False,escuela de comunicacion social
1616,19-Feb-2013,Calabozo: Ciudad esencia del llano Venezolano y su potencial turístico,"González, Glenda; Berenguer, Jesús",1.43 MB,http://saber.ucv.ve/handle/10872/2755,http://saber.ucv.ve/bitstream/10872/2755/1/Tesis%20CO8%20G6.pdf,,thesis_pdf_all/1616.pdf,True,True,False,escuela de comunicacion social
1615,18-Feb-2013,“Eco Planeta” una serie de microprogramas radiofónicos sobre la problemática ecológica en el área metropolitana,"Barboza, Jhaidy",893.67 kB,http://saber.ucv.ve/handle/10872/2754,http://saber.ucv.ve/bitstream/10872/2754/1/Tesis%20CO8%20B36%20Eco-Planeta.pdf,,thesis_pdf_all/1615.pdf,True,True,False,escuela de comunicacion social
1614,18-Feb-2013,La Vinotinto: Pasión que nos Une (Serie de microprogramas radiofónicos),"Sasso, Octavio",1.95 MB,http://saber.ucv.ve/handle/10872/2753,http://saber.ucv.ve/bitstream/10872/2753/1/Tesis%20CO7%20S36.pdf,,thesis_pdf_all/1614.pdf,True,True,False,escuela de comunicacion social
1613,18-Feb-2013,Creación de la unidad de imagen corporativa para la alcaldía del municipio Guaicaipuro. estado Miranda,"Sánchez, Sonia",1.17 MB,http://saber.ucv.ve/handle/10872/2752,http://saber.ucv.ve/bitstream/10872/2752/1/Tesis%20CO7%20S32.pdf,,thesis_pdf_all/1613.pdf,True,True,False,escuela de comunicacion social
1612,18-Feb-2013,"Danzar desde el diseño el cartel cultural como medio de promoción de la Danza Contemporánea en Venezuela, Reflexión y Propuesta Gráfica","Orozco, Akaida L.",2.61 MB,http://saber.ucv.ve/handle/10872/2751,http://saber.ucv.ve/bitstream/10872/2751/1/Tesis%20CO7%20O7.pdf,,thesis_pdf_all/1612.pdf,True,True,False,escuela de comunicacion social
1611,18-Feb-2013,Desestabilización electrostática continua del material de la fosa de producción GUARA-2,"Gómez C., Betty C.",2.74 MB,http://saber.ucv.ve/handle/10872/2750,http://saber.ucv.ve/bitstream/10872/2750/1/TEG_II_BETTY_G%c3%93MEZ.pdf,,thesis_pdf_all/1611.pdf,True,True,False,escuela de ingenieria quimica
1610,18-Feb-2013,Caracterización y preparación de parafinas para inclusión de tejidos,"Sinic B., Damastes",2.28 MB,http://saber.ucv.ve/handle/10872/2749,http://saber.ucv.ve/bitstream/10872/2749/1/Caracterizaci%c3%b3n%20y%20preparaci%c3%b3n%20de%20parafinas%20para%20inclusi%c3%b3n%20de%20tejidos.pdf,,thesis_pdf_all/1610.pdf,True,True,False,escuela de quimica
1609,18-Feb-2013,Desestabilización de emulsiones W/O aplicando microondas en el material de distintas fosas,"Sorondo M., Armando J.",2.92 MB,http://saber.ucv.ve/handle/10872/2747,http://saber.ucv.ve/bitstream/10872/2747/1/TEGII_ASM%20FINAL.pdf,,thesis_pdf_all/1609.pdf,True,True,False,escuela de ingenieria quimica
1608,18-Feb-2013,"Clarín, La Historia Censurada (1961-1964)","Meléndez, Ysabel C.",9.51 MB,http://saber.ucv.ve/handle/10872/2746,http://saber.ucv.ve/bitstream/10872/2746/1/Tesis%20CO7%20M42.pdf,,thesis_pdf_all/1608.pdf,True,True,False,escuela de comunicacion social
1607,18-Feb-2013,Diseño de laboratorio para el estudio y análisis permanente de los contenidos de la radio y televisión en Venezuela,"Garrinson, Maita",1.67 MB,http://saber.ucv.ve/handle/10872/2745,http://saber.ucv.ve/bitstream/10872/2745/1/Tesis%20CO7%20M34.pdf,,thesis_pdf_all/1607.pdf,True,True,False,escuela de comunicacion social
1606,18-Feb-2013,Desestabilización electrostática continua del material de la fosa de producción Acema-100,"González R., Mayerling J.",1.94 MB,http://saber.ucv.ve/handle/10872/2744,http://saber.ucv.ve/bitstream/10872/2744/1/TRABAJO%20ESPECIAL%20DE%20GRADO_MJGR..pdf,,thesis_pdf_all/1606.pdf,True,True,False,escuela de ingenieria quimica
1605,18-Feb-2013,Puesta a punto de una microbalanza CAHN 1000 implementando un sistema de digitalización y automatización para la adquisición y procesamiento de datos provenientes del sistema analógico de la microbalanza,"Alvarez G., Ybeth D.",1.51 MB,http://saber.ucv.ve/handle/10872/2743,http://saber.ucv.ve/bitstream/10872/2743/1/Tesis%20II%20Ybeth%20Alvarez.pdf,,thesis_pdf_all/1605.pdf,True,True,False,escuela de ingenieria quimica
1604,18-Feb-2013,Evaluación de las pérdidas de fibras en la producción de papel sanitario de Kimberly-Clark Venezuela,"Matera G., Maholi G.",2.63 MB,http://saber.ucv.ve/handle/10872/2742,http://saber.ucv.ve/bitstream/10872/2742/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20%28Maholi%20Matera%29.pdf,,thesis_pdf_all/1604.pdf,True,True,False,escuela de ingenieria quimica
1603,18-Feb-2013,La canción necesaria en Venezuela: Lengua del pueblo reportaje radiofónico,"Chávez, María E.; Córdova, Lucía E.",1.88 MB,http://saber.ucv.ve/handle/10872/2741,http://saber.ucv.ve/bitstream/10872/2741/1/Tesis%20CO7%20CH3.pdf,,thesis_pdf_all/1603.pdf,True,True,False,escuela de comunicacion social
1601,14-Feb-2013,"Propuesta de un plan de mercadeo para el Diario La Voz, en el área metropolitana de Caracas","Alvarez, Iriana L.",4.23 MB,http://saber.ucv.ve/handle/10872/2737,http://saber.ucv.ve/bitstream/10872/2737/1/Tesis%20CO7%20A58.pdf,,thesis_pdf_all/1601.pdf,True,True,False,escuela de comunicacion social
1600,14-Feb-2013,Evaluación de la aplicación “Mallado Dinámico” en la simulación numérica de procesos de recuperación térmica,"Prato H., Gustavo A.",22.4 MB,http://saber.ucv.ve/handle/10872/2736,http://saber.ucv.ve/bitstream/10872/2736/1/TEG_GUSTAVO_PRATO.pdf,,thesis_pdf_all/1600.pdf,True,True,False,escuela de ingenieria de petroleo
1599,14-Feb-2013,Voces ciudadanas: El respeto por la diferencia serie de microprogramas radiofónicas donde quiera que los oigas destinada a promover la no-discriminación y la tolerancia,"Aldana, Ana M.",1.89 MB,http://saber.ucv.ve/handle/10872/2735,http://saber.ucv.ve/bitstream/10872/2735/1/Tesis%20CO7%20A52.pdf,,thesis_pdf_all/1599.pdf,True,True,False,escuela de comunicacion social
1627,21-Feb-2013,Importancia del camarógrafo de prensa en la televisión actual en Venezuela,"Rangel, Armando",1.52 MB,http://saber.ucv.ve/handle/10872/2769,http://saber.ucv.ve/bitstream/10872/2769/1/IMPORTANCIA%20DEL%20CAMAR%c3%93GRAFO%20DE%20PRENSA%20EN%20%20LA%20TV%20ACTUAL%20DE%20VENEZUELA.%20POR%20ARMANDO%20RANGEL.pdf,,thesis_pdf_all/1627.pdf,True,True,False,escuela de comunicacion social
1628,21-Feb-2013,Imagen de la Escuela de Ingeniería Civil de la Facultad de Ingeniería de la U.C.V (Producción de micros radiofónicos),"Riera, Denis; Venegas, Yetssy",1.99 MB,http://saber.ucv.ve/handle/10872/2770,http://saber.ucv.ve/bitstream/10872/2770/1/Tesis%20Definitiva-Denis%20Riera-Yetssy%20Venegas.pdf,,thesis_pdf_all/1628.pdf,True,True,False,escuela de comunicacion social
1629,21-Feb-2013,GALIPÁN: Ecoturismo en el pulmón vegetal de Caracas,"Ruíz, Soany Y.; Sayago, María C.",6.15 MB,http://saber.ucv.ve/handle/10872/2771,http://saber.ucv.ve/bitstream/10872/2771/1/Tesis%20CO9%20R8.pdf,,thesis_pdf_all/1629.pdf,True,True,False,escuela de comunicacion social
1644,22-Feb-2013,FocoNatural: revista digital fotográfica para la promoción y preservación de los espacios naturales ubicados en las ciudades principales de Venezuela.,"Lazo, Madeleine; Ledezma, Leoniris",2.18 MB,http://saber.ucv.ve/handle/10872/2803,http://saber.ucv.ve/bitstream/10872/2803/1/completo.pdf,,thesis_pdf_all/1644.pdf,True,True,False,escuela de comunicacion social
1656,25-Feb-2013,Ensayos Históricos. Revista del Instituto de Estudios Hispanoamericanos. Facultad de Humanidades y Educación Universidad Central de Venezuela: Índice Analítico y Estudio Métrico (1974-2007).,"Montilla, Yideira I.",5 MB,http://saber.ucv.ve/handle/10872/2825,http://saber.ucv.ve/bitstream/10872/2825/1/Tesis%20M2009%20P372%20CD.pdf,,thesis_pdf_all/1656.pdf,True,True,False,escuela de bibliotecologia y archivologia
1655,25-Feb-2013,"Cuidados aplicados por los profesionales de enfermería a pacientes con Rabdomíolisis, hospitalizados en el Servicio de Nefrología del Hospital Militar “Dr. Carlos Arvelo” Caracas","Martínez, Luz; Pulido, Eglys; Ramírez, Luisa",522.33 kB,http://saber.ucv.ve/handle/10872/2823,http://saber.ucv.ve/bitstream/10872/2823/1/Trabajo%20Especial%20de%20Grado.pdf,,thesis_pdf_all/1655.pdf,True,True,False,escuela de enfermeria
1654,25-Feb-2013,"Propuesta de un Programa de Orientación dirigido a madres acerca del manejo y prevención en el hogar del asma bronquial en niños de 1 A 4 Años. Área de emergencia Hospital Pediátrico “Dr. J.M de Los Ríos”, Caracas, Segundo Semestre 2007","Infante, Sandra",361.01 kB,http://saber.ucv.ve/handle/10872/2822,http://saber.ucv.ve/bitstream/10872/2822/1/SANDRAINFANTE%28UCV%29.pdf,,thesis_pdf_all/1654.pdf,True,True,False,escuela de enfermeria
1653,25-Feb-2013,"Estado nutricional de los alumnos de primer grado de las secciones a, b, c, d y e, de la Unidad Educativa Bolivariana “Carlos Delgado Chalbaud”, Coche, Caracas. 2008","Camacho, Karla; Jeréz, Jomarssi; Ledezma, Charlie",1.51 MB,http://saber.ucv.ve/handle/10872/2821,http://saber.ucv.ve/bitstream/10872/2821/1/trabajo%20de%20tesis.pdf,,thesis_pdf_all/1653.pdf,True,True,False,escuela de enfermeria
1652,25-Feb-2013,"Información que posee el profesional de enfermería sobre cuidados del Recién Nacido con mielomeningocele durante la etapa post natal, Unidad de Terapia Intensiva Neonatal del Hospital J.M De Los Ríos, segundo semestre de 2008","Aquino, Jenny",284.08 kB,http://saber.ucv.ve/handle/10872/2820,http://saber.ucv.ve/bitstream/10872/2820/1/TRABAJO%20ESPCIAL%20DE%20GRADO.pdf,,thesis_pdf_all/1652.pdf,True,True,False,escuela de enfermeria
1651,25-Feb-2013,Asistencia de la enfermera con las embarazadas en control en el fomento de la salud por medio de los componentes medico nutricional y seguimiento comunitario. Hospital General del Tigre. Primer semestre del año 2008,"Álvarez, Emiles; Rivas, Maribel; Rojas, Yesenia",435.59 kB,http://saber.ucv.ve/handle/10872/2819,http://saber.ucv.ve/bitstream/10872/2819/1/ASISTENCIA%20DE%20LA%20ENFERMERA%20CON%20LAS%20EMBARAZADAS%20EN%20CONTROL%20EN%20EL%20FOMENTO%20DE%20LA%20SALUD%20POR%20MEDIO%20DE%20.pdf,,thesis_pdf_all/1651.pdf,True,True,False,escuela de enfermeria
1650,25-Feb-2013,Propuesta de un programa educativo para la relación de ayuda a pacientes de nuevo ingreso con cáncer de mama del Instituto de Oncología y Hematología de la Universidad Central de Venezuela,"Aldana, Johanna",1 MB,http://saber.ucv.ve/handle/10872/2818,http://saber.ucv.ve/bitstream/10872/2818/1/TEG.pdf,,thesis_pdf_all/1650.pdf,True,True,False,escuela de enfermeria
1649,25-Feb-2013,Los cuerpos de barro: análisis estilístico-estético-comparativo de la figuración antropomorfa en la cerámica prehispánica de Venezuela. Series barrancoide-saladoide valencioide y estilos Betijoque-Mirinday,"Escalona, Carlos",30.3 MB,http://saber.ucv.ve/handle/10872/2817,http://saber.ucv.ve/bitstream/10872/2817/1/Los%20Humanos%20de%20Barro%20Tesis%20completa.pdf,,thesis_pdf_all/1649.pdf,True,True,False,escuela de antropologia
1648,25-Feb-2013,Análisis de las posibilidades comunicativas en la poesía contemporánea,"Valenzuela, César M.",2.57 MB,http://saber.ucv.ve/handle/10872/2816,http://saber.ucv.ve/bitstream/10872/2816/1/Completo.pdf,,thesis_pdf_all/1648.pdf,True,True,False,escuela de comunicacion social
1647,25-Feb-2013,"El discurso subyacente en la construcción personal del venezolano, Análisis de las estrategias discursivas en las preferencias de Marcos Pérez Jiménez y su influencia en la construcción de la identidad del venezolano actual.","Selgas, Gianfranco",4.24 MB,http://saber.ucv.ve/handle/10872/2814,http://saber.ucv.ve/bitstream/10872/2814/1/Completo.pdf,,thesis_pdf_all/1647.pdf,True,True,False,escuela de comunicacion social
1646,25-Feb-2013,Amnistía Internacional: Análisis gráfico y del discurso de su campaña en contra de la violencia a la mujer en Venezuela.,"Rodríguez, Oriana",8.11 MB,http://saber.ucv.ve/handle/10872/2813,http://saber.ucv.ve/bitstream/10872/2813/1/Completo.pdf,,thesis_pdf_all/1646.pdf,True,True,False,escuela de comunicacion social
1645,22-Feb-2013,Eco Carora: modelo de una publicación encartada en el diario El Caroreño para sensibilizar a sus lectores sobre el cambio climático,"Penzo, Guillermo L.",2.86 MB,http://saber.ucv.ve/handle/10872/2807,http://saber.ucv.ve/bitstream/10872/2807/1/Tesis.pdf,,thesis_pdf_all/1645.pdf,True,True,False,escuela de comunicacion social
