index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
7402,30-Dec-2018,Factores psicosociales intralaborales y extralaborales en teletrabajadores venezolanos.,"Contreras, Victor; Lago, Katerine",3.15 MB,http://saber.ucv.ve/handle/10872/19475,http://saber.ucv.ve/bitstream/10872/19475/1/Factores%20Psicosociales%20Intralaborales%20y%20Extralaborales%20en%20Teletrabajadores%20Venezolanos.pdf,,thesis_pdf_all/7402.pdf,True,True,False,escuela de psicologia
7401,30-Dec-2018,Preferencias relativas del personal clave de una organización manufacturera de acuerdo al modelo de recompensa total del World at work.,"Padilla, Carolaym; Da Silva, Kerry",1.96 MB,http://saber.ucv.ve/handle/10872/19474,http://saber.ucv.ve/bitstream/10872/19474/1/PREFERENCIAS%20RELATIVAS%20DEL%20PERSONAL%20CLAVE%20DE%20UNA%20ORGANIZACI%c3%93N%20MANUFACTURERA%20DE%20ACUERDO%20AL%20MODELO%20DE%20RECOMPENSA%20TOTAL%20DE%20WORLD%20AT%20WORK.pdf,,thesis_pdf_all/7401.pdf,True,True,False,escuela de psicologia
7400,30-Dec-2018,Capital psicológico. Engagement y factores psicosociales en una muestra multiocupacional de trabajadores venezolanos.,"Bencomo, Lourdes; Gómez, Danibel",1.39 MB,http://saber.ucv.ve/handle/10872/19473,http://saber.ucv.ve/bitstream/10872/19473/1/Bencomo%20L%20%20%20y%20G%c3%b3mez%20D%20%20Capital%20psicologico%20engagement%20y%20factores%20psicosociales%20intralaborales%20en%20trabajadores%20venezolanos.pdf,,thesis_pdf_all/7400.pdf,True,True,False,escuela de psicologia
7399,30-Dec-2018,Significados otorgados por un grupo de jóvenes participantes de las manifestaciones de febrero-mayo 2018 en Caracas a la modalidad de protesta conocida como guarimba.,"Díaz, Daniela",1.72 MB,http://saber.ucv.ve/handle/10872/19472,http://saber.ucv.ve/bitstream/10872/19472/1/guarimbas%20-%20DF.pdf,,thesis_pdf_all/7399.pdf,True,True,False,escuela de psicologia
7398,30-Dec-2018,Lo público y lo privado: un análisis de significados compartidos en redes sociales por jóvenes que practican el autocuidado.,"Durán, Giselle",583.82 kB,http://saber.ucv.ve/handle/10872/19471,http://saber.ucv.ve/bitstream/10872/19471/1/Dur%c3%a1n%2c%20G.%20%282018%29.%20Lo%20p%c3%bablico%20y%20lo%20privado%20un%20an%c3%a1lisis%20de%20significados%20compartidos%20en%20redes%20sociales%20por%20j%c3%b3venes%20que%20pract~1.pdf,,thesis_pdf_all/7398.pdf,True,True,False,escuela de psicologia
7397,30-Dec-2018,Identidad y transición en personas transgénero de Caracas.,"Pérez, Leonardo; Yancul, Emerson",579.71 kB,http://saber.ucv.ve/handle/10872/19470,http://saber.ucv.ve/bitstream/10872/19470/1/P%c3%a9rez%20y%20Yancul-Identidad%20y%20transici%c3%b3n%20transg%c3%a9nero.pdf,,thesis_pdf_all/7397.pdf,True,True,False,escuela de psicologia
7424,7-Jan-2019,Desarrollo de un sistema de información para la atención al paciente a través de consultas especializadas y/o servicios de apoyo clínico,"Pérez Moure, Ana Karina",5.2 MB,http://saber.ucv.ve/handle/10872/19509,http://saber.ucv.ve/bitstream/10872/19509/1/Tesis_Ana_Perez.pdf,,thesis_pdf_all/7424.pdf,True,True,False,escuela de computacion
7425,7-Jan-2019,Desarrollo de un editor de visualizaciones de propiedades de historiales de wikis,"Testa Testa, Leonardo",3.62 MB,http://saber.ucv.ve/handle/10872/19510,http://saber.ucv.ve/bitstream/10872/19510/1/Tesis_Leonardo_Testa_20654905.pdf,,thesis_pdf_all/7425.pdf,True,True,False,escuela de computacion
7426,7-Jan-2019,Aplicación web para la gestión de la inscripción del Seminario de Investigación de la Licenciatura en Química de la Universidad Central de Venezuela,"Tovar Ferrer, Rocío Carolina",5.02 MB,http://saber.ucv.ve/handle/10872/19511,http://saber.ucv.ve/bitstream/10872/19511/1/Tesis_Rocio_Tovar.pdf,,thesis_pdf_all/7426.pdf,True,True,False,escuela de computacion
7443,8-Jan-2019,"Diagnóstico molecular de Aneuploidías en los cromosomas:13,16,18 y 21, mediante la reacción en cadena de la polimerasa por fluorescencia cuantitativa (QF-PCR)","Hernández Hernández, Ana Kharina",2.77 MB,http://saber.ucv.ve/handle/10872/19536,http://saber.ucv.ve/bitstream/10872/19536/1/TEG-AnaHern%c3%a1ndez.pdf,,thesis_pdf_all/7443.pdf,True,True,False,escuela de biologia
7455,21-Jan-2019,Efecto de la dipetarudina sobre el crecimiento tumoral y generación de metástasis en un modelo de cáncer de mama en ratones BALB/c,"Bruzual Vásquez, Sandrines Carolina",1.81 MB,http://saber.ucv.ve/handle/10872/19585,http://saber.ucv.ve/bitstream/10872/19585/1/Manuscrito%20TEG%20SB%20Version%20finalPDF..pdf,,thesis_pdf_all/7455.pdf,True,True,False,escuela de biologia
7454,17-Jan-2019,Efecto de la desecación sobre el desarrollo larval y metamorfosis de Mannophryne cordilleriana (Anura: Aromobatidae),"Castellanos Montero, Michelle Carolina",1.57 MB,http://saber.ucv.ve/handle/10872/19576,http://saber.ucv.ve/bitstream/10872/19576/1/TEG%20Michelle%20Castellanos.pdf,,thesis_pdf_all/7454.pdf,True,True,False,escuela de biologia
