index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
5044,2-Mar-2017,"Caracterización geológica de la faja dolomitica de la zona ubicada entre Cañango y Patanemo, distrito Puerto Cabello, estado Carabobo","Gómez, Alexis; Mayora, Milagros",4.22 MB,http://saber.ucv.ve/handle/10872/14769,http://saber.ucv.ve/bitstream/10872/14769/1/CARACTERIZACI%c3%93N%20GEOL%c3%93GICA%20DE%20LA%20FAJA%20DOLOM%c3%8dTICA.pdf,,thesis_pdf_all/5044.pdf,True,True,False,"escuela de geologia, minas y geofisica"
5043,2-Mar-2017,"Compilación, digitalización y actualización geológica-cartográfica de la zona Nor-Central estados Guárico y Aragua","Guillén R., Walter E.; Toribio R., Enrique P.",53.93 MB,http://saber.ucv.ve/handle/10872/14768,http://saber.ucv.ve/bitstream/10872/14768/1/TEG%20Guillen%20y%20Toribio%2006_2006.pdf,,thesis_pdf_all/5043.pdf,True,True,False,"escuela de geologia, minas y geofisica"
5042,2-Mar-2017,"Comportamiento de las aguas de producción inyectadas en las arenas de las formaciones Macoa y Cuiba, como parte del proyecto de inyección de agua de producción en el yacimiento Marcelina-I0008, y su incidencia en la calidad de las aguas subterráneas aprovechables","Gutiérrez G., Gregory J.",265.42 kB,http://saber.ucv.ve/handle/10872/14767,http://saber.ucv.ve/bitstream/10872/14767/1/Capitulo%20I%20Introducci%c3%b3n.pdf,,thesis_pdf_all/5042.pdf,True,True,False,No School
5041,2-Mar-2017,Desarrollo y validación de método analítico por HPLC para la determinación simultánea de ibuprofeno y tiocolchicósido en tabletas,"González Pérez, María Isabel",2.2 MB,http://saber.ucv.ve/handle/10872/14766,http://saber.ucv.ve/bitstream/10872/14766/1/TESIS.pdf,,thesis_pdf_all/5041.pdf,True,True,False,escuela de quimica
5040,2-Mar-2017,"Estudio del comportamiento del coque de petróleo en presencia de especies azufradas, generadas electroquímicamente, en medio alcalino","Mora Soares, Joselin Carolina",2.56 MB,http://saber.ucv.ve/handle/10872/14765,http://saber.ucv.ve/bitstream/10872/14765/1/Trabajo%20Especial%20de%20Grado%20JOSELIN%20MORA.pdf,,thesis_pdf_all/5040.pdf,True,True,False,escuela de quimica
5039,2-Mar-2017,Síntesis de naftalenos polifenólicos: compuestos con posible actividad antioxidante,"Ávila Suárez, María Virginia",11.01 MB,http://saber.ucv.ve/handle/10872/14764,http://saber.ucv.ve/bitstream/10872/14764/1/TDG%20CULMINADA.pdf,,thesis_pdf_all/5039.pdf,True,True,False,escuela de quimica
5038,2-Mar-2017,Activación de coque retardado venezolano empleando vapor de agua y carbonatos de metales alcalinos y alcalinotérreos como agentes activantes,"Ricardo de la Barrera, Antonio Miguel",3.18 MB,http://saber.ucv.ve/handle/10872/14763,http://saber.ucv.ve/bitstream/10872/14763/1/TEG%20Antonio%20Ricardo%20Firmas.pdf,,thesis_pdf_all/5038.pdf,True,True,False,escuela de quimica
5037,2-Mar-2017,Propuesta de un plan para la minimización del riesgo químico presente en el laboratorio de química orgánica II de la Facultad de Ciencias,"Acevedo R., Abril C.",15.13 MB,http://saber.ucv.ve/handle/10872/14762,http://saber.ucv.ve/bitstream/10872/14762/1/TEG.pdf,,thesis_pdf_all/5037.pdf,True,True,False,No School
5036,2-Mar-2017,Estudio del efecto de las condiciones de activación sobre la morfología de la fase activa del catalizador de HDT NiMo/γ-alúmina.,"Mora Rondon, Luis Daniel",3.63 MB,http://saber.ucv.ve/handle/10872/14761,http://saber.ucv.ve/bitstream/10872/14761/1/T.EG.%20Luis%20Daniel%20Mora%20Rondon%20V-20302814.pdf,,thesis_pdf_all/5036.pdf,True,True,False,escuela de quimica
5034,2-Mar-2017,Diseño de formulaciones surfactante-polímero con potencial empleo en la recuperación mejorada de crudo extrapesado de un yacimiento perteneciente al Bloque Junin de la Faja Petrolífera del Orinoco,"Guevara Salas, Jessica Josefina",2.24 MB,http://saber.ucv.ve/handle/10872/14759,http://saber.ucv.ve/bitstream/10872/14759/1/Trabajo%20Especial%20de%20Grado%20JESSICA%20GUEVARA.pdf,,thesis_pdf_all/5034.pdf,True,True,False,escuela de quimica
