index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
3852,19-Oct-2015,Estudio de la incorporación de níquel en la silice mesoporosa SBA-15 para la reacción de alquilación Friedel-Crafts,"Rueda, Julian",1.81 MB,http://saber.ucv.ve/handle/10872/12333,http://saber.ucv.ve/bitstream/10872/12333/1/tesis%20Julian%20Rueda.pdf,,thesis_pdf_all/3852.pdf,True,True,False,escuela de quimica
3851,19-Oct-2015,Reconstrucción y Automatización de un Espectrómetro de Resonancia Paramagnética Electrónica,"Da Silva B., Victor G.",31.14 MB,http://saber.ucv.ve/handle/10872/12352,http://saber.ucv.ve/bitstream/10872/12352/1/TEG%20Victor%20Gabriel%20Da%20Silva%20Baeta.pdf,,thesis_pdf_all/3851.pdf,True,True,False,escuela de fisica
3850,19-Oct-2015,Medidas de riesgo basadas en escenarios,"Otazo, Gibran",1.67 MB,http://saber.ucv.ve/handle/10872/12338,http://saber.ucv.ve/bitstream/10872/12338/1/TEG%20Gibran%20Otazo.pdf,,thesis_pdf_all/3850.pdf,True,True,False,escuela de matematica
3849,19-Oct-2015,Algunos Métodos Numéricos para la Descomposición en Valores Singulares de Matrices Reales,"Rosario M, Ronaldys Y.",1.13 MB,http://saber.ucv.ve/handle/10872/12335,http://saber.ucv.ve/bitstream/10872/12335/1/TEG%20Ronaldys%20Y.%20Rosario%20M.pdf,,thesis_pdf_all/3849.pdf,True,True,False,escuela de matematica
3848,16-Oct-2015,Desarrollo de un Módulo de generación de reportes para el sistema CONEST de la Facultad de Ciencias,"Márquez C., María E.; Fernández P., Wilmer A.",35.09 MB,http://saber.ucv.ve/handle/10872/12305,http://saber.ucv.ve/bitstream/10872/12305/1/Tesis%20M%c3%a1rquez-Fern%c3%a1ndez.pdf,,thesis_pdf_all/3848.pdf,True,True,False,escuela de computacion
3847,16-Oct-2015,Biblioteca para la administración de redes basadas en tcp/ip mediante la utilización del protocolo snmp v1/v2c para el lenguaje de programación php,"Camero, Joselyn C.; Uzcátegui J., Laura A.",1.62 MB,http://saber.ucv.ve/handle/10872/12306,http://saber.ucv.ve/bitstream/10872/12306/1/tesis%20Camero-Uzc%c3%a1tegui.pdf,,thesis_pdf_all/3847.pdf,True,True,False,escuela de computacion
3846,16-Oct-2015,Formulación Hamiltoniana de la Teoría B-F en dimensión 3+1 e Invariantes Topológicos,"Torres, Nancy",1.31 MB,http://saber.ucv.ve/handle/10872/12307,http://saber.ucv.ve/bitstream/10872/12307/1/Tesis%20Nancy%20Torres.pdf,,thesis_pdf_all/3846.pdf,True,True,False,escuela de matematica
3845,16-Oct-2015,El teorema de nehari y el teorema de kronecker,"Ramírez, Ronald M.",408.09 kB,http://saber.ucv.ve/handle/10872/12308,http://saber.ucv.ve/bitstream/10872/12308/1/TEG%20Ronald%20M.%20Ram%c3%adrez%20M..pdf,,thesis_pdf_all/3845.pdf,True,True,False,escuela de matematica
3844,16-Oct-2015,Simulación de galaxia mediante autómatas celulares,"Gatuzz, Efraín J.",3.17 MB,http://saber.ucv.ve/handle/10872/12298,http://saber.ucv.ve/bitstream/10872/12298/1/Tesis%20Efra%c3%adn%20J.%20Gatuzz%20S..pdf,,thesis_pdf_all/3844.pdf,True,True,False,escuela de fisica
3843,16-Oct-2015,Estudio hidrogeoquímico de las aguas subterráneas del sector este de la sub-cuenca del río Zuata del área Junín de la faja petrolífera del Orinoco,"Urrutia V, Ender E.",3.27 MB,http://saber.ucv.ve/handle/10872/12299,http://saber.ucv.ve/bitstream/10872/12299/1/Tesis%20%20Ender%20E.%20Urrutia%20V.pdf,,thesis_pdf_all/3843.pdf,True,True,False,escuela de quimica
3842,16-Oct-2015,Topologías sobre conjuntos numerables,"González Z., Lysis",739.03 kB,http://saber.ucv.ve/handle/10872/12300,http://saber.ucv.ve/bitstream/10872/12300/1/Tesis%20Lysis%20Gonz%c3%a1lez%20Z..pdf,,thesis_pdf_all/3842.pdf,True,True,False,escuela de matematica
3841,16-Oct-2015,La Transformada de Hilbert en Lp(R),"Aguilera A., Alejandra P.",1.62 MB,http://saber.ucv.ve/handle/10872/12301,http://saber.ucv.ve/bitstream/10872/12301/1/Tesis%20Alejandra%20P.%20Aguilera%20A..pdf,,thesis_pdf_all/3841.pdf,True,True,False,escuela de matematica
3809,13-Oct-2015,Evaluación de una celda para la generación de vapor frío de cadmio y su determinación en muestras de orina mediante espectrométria de absorción atómica,"Pescador, Nairobi",1.65 MB,http://saber.ucv.ve/handle/10872/12276,http://saber.ucv.ve/bitstream/10872/12276/1/tesis%20Nairobi%20Pescador.pdf,,thesis_pdf_all/3809.pdf,True,True,False,escuela de quimica
3807,13-Oct-2015,Síntesis y estudio de reactividad de azidofosfinas como ligandos en complejos de rodio,"Ballesteros, Meira J.",1.85 MB,http://saber.ucv.ve/handle/10872/12278,http://saber.ucv.ve/bitstream/10872/12278/1/tesis%20Ballesteros.pdf,,thesis_pdf_all/3807.pdf,True,True,False,escuela de quimica
3989,30-Nov-2015,Diseño e implementación de un sistema de gestión y monitoreo para un enlace DWDM punto a punto (RED SDH),"Denis A, Oswaldo A.",3.21 MB,http://saber.ucv.ve/handle/10872/12958,http://saber.ucv.ve/bitstream/10872/12958/1/TEG_Autor_OswaldoDenis_2005.pdf,,thesis_pdf_all/3989.pdf,True,True,False,No School
3806,13-Oct-2015,Estudio de la expresión de receptores KIR en células NK,"Palacios, Andrea M.",1.02 MB,http://saber.ucv.ve/handle/10872/12282,http://saber.ucv.ve/bitstream/10872/12282/1/Tesis%20Andrea%20M.%20Palacias%20G..pdf,,thesis_pdf_all/3806.pdf,True,True,False,escuela de biologia
3775,30-Sep-2015,"Diseño y comparación de dos estructuras típicas de acero usando perfiles doble ""T"" en una y perfiles tubulares en la otra","Bonilla, Davir F.",8.1 MB,http://saber.ucv.ve/handle/10872/12184,http://saber.ucv.ve/bitstream/10872/12184/1/TEG%2bDavir%2bBonilla.pdf,,thesis_pdf_all/3775.pdf,True,True,False,escuela de ingenieria civil
3774,30-Sep-2015,"Análisis dinámico del Edificio de Física de la Facultad de Ingeniería de la Ciudad Universitaria de Caracas, con el fin de evaluar su respuesta sísmica","Ferreira, Luendy",871.98 kB,http://saber.ucv.ve/handle/10872/12185,http://saber.ucv.ve/bitstream/10872/12185/1/TESIS-2.pdf,,thesis_pdf_all/3774.pdf,True,True,False,escuela de ingenieria civil
3773,30-Sep-2015,Síntesis y caracterización de tamices moleculares organicamente modificados,"Araujo, Elizabeth S.",2.51 MB,http://saber.ucv.ve/handle/10872/12186,http://saber.ucv.ve/bitstream/10872/12186/1/tesis%20Elizabeth%20Susana%20Araujo.pdf,,thesis_pdf_all/3773.pdf,True,True,False,escuela de quimica
