index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
2274,17-May-2014,“Cientichef” Manual para la enseñanza de las Ciencias Naturales en la educación primaria. Caso: Alumnos del cuarto grado sección “B” de la Unidad Educativa Municipal “Agustín Aveledo”,"González M, Maria I; Lugo M, Liliana del V",14.8 kB,http://saber.ucv.ve/handle/10872/6327,http://saber.ucv.ve/bitstream/10872/6327/2/RESUMEN.pdf,,thesis_pdf_all/2274.pdf,True,True,False,escuela de educacion
4242,19-Feb-2016,Recurso educativo abierto basado en simulaciones de vectores y movimiento en 2d para física general,"Gil Gómez, Alejandro",85.44 kB,http://saber.ucv.ve/handle/10872/13375,http://saber.ucv.ve/bitstream/10872/13375/1/PORTADA%20TEG.pdf,,thesis_pdf_all/4242.pdf,True,True,False,escuela de computacion
3564,15-Jul-2015,"Estimación de la resistencia a compresión del concreto proyectado a temprana edad, utilizado como revestimiento definitivo en el foso norte y sur de la estación UNEFA","Cuberos ., Marlys E; Delfín, Maryvic C.",22.36 MB,http://saber.ucv.ve/handle/10872/11249,http://saber.ucv.ve/bitstream/10872/11249/1/TOMO%20DE%20TESIS%20CORREGIDA.pdf,,thesis_pdf_all/3564.pdf,True,True,False,escuela de ingenieria civil
3592,21-Jul-2015,"Evaluación de la variación de los resultados de capacidad de soporte bajo carga axial de pilotes hincados en suelo costa afuera venezolanos, estimadas mediante los métodos API RP2A (2002), ICP-05 y NGI (2005)","Veracoechea, Alesia C.",5.14 MB,http://saber.ucv.ve/handle/10872/11568,http://saber.ucv.ve/bitstream/10872/11568/1/Alesia%20C%20Veracoechea%20J.pdf,,thesis_pdf_all/3592.pdf,True,True,False,escuela de ingenieria civil
3591,21-Jul-2015,"Comparación del nivel de servicio de la carretera panamericana en el tramo Los Teques-Caracas, en el período pico de la mañana 5:00AM a 8:30AM, antes y después de la puesta en servicio del sistema de transporte masivo ferroviario Metro Los Teques","Castro, Alfredo; Saldivia, Arturo",8.83 MB,http://saber.ucv.ve/handle/10872/11589,http://saber.ucv.ve/bitstream/10872/11589/1/TEG%20COMPLETA.pdf,,thesis_pdf_all/3591.pdf,True,True,False,No School
3590,21-Jul-2015,Valutazione ed analisi tecnica delle iniezioni cementizie e chimiche nel settore acquifero interessato dalle lavorazioni del passante ferroviario di Torino,"Castro, Ana M.",13.55 MB,http://saber.ucv.ve/handle/10872/11608,http://saber.ucv.ve/bitstream/10872/11608/1/Tesis%20de%20pregrado.%20Ana%20Mar%c3%ada%20Castro%20Ot%c3%a1lora.pdf,,thesis_pdf_all/3590.pdf,True,True,False,escuela de ingenieria civil
3589,20-Jul-2015,Evaluación del rendimiento del Embalse Pao-La Balsa para el período de funcionamiento 2007-2025,"Cabrita F., Raúl",7.12 MB,http://saber.ucv.ve/handle/10872/11487,http://saber.ucv.ve/bitstream/10872/11487/1/COMPLETPO%20Evaluaci%c3%b3n%20del%20rendimiento%20del%20Embalse%20Pao.pdf,,thesis_pdf_all/3589.pdf,True,True,False,escuela de ingenieria civil
3588,20-Jul-2015,Manual digitalizado de Laboratorio de Mecánica de Suelos (Parte I),"Sánchez, Yraidis M.",763.53 kB,http://saber.ucv.ve/handle/10872/11459,http://saber.ucv.ve/bitstream/10872/11459/1/INFORME%20TEG_V04.pdf,,thesis_pdf_all/3588.pdf,True,True,False,escuela de ingenieria civil
3587,20-Jul-2015,Caracterización de mezclas de concreto pesado elaboradas con mineral de hierro como agregado fino,"Alayón, Yenitza L.; Álvarez, Eylim J.",4.11 MB,http://saber.ucv.ve/handle/10872/11457,http://saber.ucv.ve/bitstream/10872/11457/1/Caracterizaci%c3%b3n%20de%20Mezclas%20de%20Concreto%20Pesado%20con%20Mineral%20de.pdf,,thesis_pdf_all/3587.pdf,True,True,False,No School
3586,20-Jul-2015,Utilización de residuos pétreos de materiales de construcción procesados como agregados en mezclas de concreto,"Guardia, Ricardo A.,; Soto, María A.",4 MB,http://saber.ucv.ve/handle/10872/11473,http://saber.ucv.ve/bitstream/10872/11473/1/TEG%2c%20Facultad%20de%20Ingenier%c3%ada%2c%20Escuela%20de%20Ingenier%c3%ada%20Civil.pdf,,thesis_pdf_all/3586.pdf,True,True,False,escuela de ingenieria civil
3585,20-Jul-2015,Elaboración de una videoteca digital de los ensayos de la asignatura Resistencia de Materiales,"Zifan, Nafiseh",1.34 MB,http://saber.ucv.ve/handle/10872/11480,http://saber.ucv.ve/bitstream/10872/11480/1/TESIS.pdf,,thesis_pdf_all/3585.pdf,True,True,False,escuela de ingenieria civil
3584,20-Jul-2015,Evaluación sismorresistente de la Unidad Educativa Nacional Escuela Experimental Venezuela-Edificio Este,"Al Jarrouj, Yoman; Jaramillo, Omar E.",3.72 MB,http://saber.ucv.ve/handle/10872/11449,http://saber.ucv.ve/bitstream/10872/11449/1/TESIS%20AL%20JARROUJ%20-%20JARAMILLO.pdf,,thesis_pdf_all/3584.pdf,True,True,False,escuela de ingenieria civil
3583,20-Jul-2015,"Evaluación sismorresistente de la edificación ""Escuela Básica Corazón de Jesús"" ubicada en Cumaná, estado Sucre","Gascón, Johanna G.; Lárez, Manuel A.",15.43 MB,http://saber.ucv.ve/handle/10872/11444,http://saber.ucv.ve/bitstream/10872/11444/1/TEG%20-%20Larez%20y%20Gascon.pdf,,thesis_pdf_all/3583.pdf,True,True,False,escuela de ingenieria civil
