index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
7826,20-Oct-2019,Estrés afrontamiento y apego en pacientes con enfermedades cardiovasculares.,"Barrios, Oriadna",1.27 MB,http://saber.ucv.ve/handle/10872/20215,http://saber.ucv.ve/bitstream/10872/20215/1/CLI19-1TEG%20Barrios%2c%20O.pdf,,thesis_pdf_all/7826.pdf,True,True,False,escuela de psicologia
7825,20-Oct-2019,Construcción subjetiva del liderazgo comunitario como modo de vida.,"Franquiz, Gabriela",2.16 MB,http://saber.ucv.ve/handle/10872/20213,http://saber.ucv.ve/bitstream/10872/20213/1/GABY%20TDG%20FINAL.pdf,,thesis_pdf_all/7825.pdf,True,True,False,escuela de psicologia
7824,20-Oct-2019,"Concepto de maternidad, experiencia de la feminidad y autoconcepto en un grupo de mujeres residentes en Caracas que han decidido no ser madres.","Montilla, Fabiana; Amaya, Néstor",2.41 MB,http://saber.ucv.ve/handle/10872/20212,http://saber.ucv.ve/bitstream/10872/20212/1/Tesis%20No%20Maternidad.%20Montilla%20y%20Amaya.%2030.07.2019..pdf,,thesis_pdf_all/7824.pdf,True,True,False,escuela de psicologia
7823,20-Oct-2019,Significados asociados a la transexualidad en profesionales de la salud mental.,"Quiroz, Alejandra",1.03 MB,http://saber.ucv.ve/handle/10872/20211,http://saber.ucv.ve/bitstream/10872/20211/1/VERSION%20TESIS%20COMPLETA%20ALEJANDRA%20QUIROZ.pdf,,thesis_pdf_all/7823.pdf,True,True,False,escuela de psicologia
7822,20-Oct-2019,Actores políticos en Venezuela: Ideal del Yo y funciones Yoicas en un grupo de activistas políticos en el ejercicio de sus funciones como diputados en la Asamblea Nacional.,"Hernández, Paola",735.71 kB,http://saber.ucv.ve/handle/10872/20210,http://saber.ucv.ve/bitstream/10872/20210/1/Tesis_HernandezP2019.pdf,,thesis_pdf_all/7822.pdf,True,True,False,escuela de psicologia
7821,20-Oct-2019,"Proceso de gestión pública compartida de la residencia estudiantil Livia Gouverneur, desde la perspectiva de los/as residentes.","Ruíz, Oriana",2.49 MB,http://saber.ucv.ve/handle/10872/20209,http://saber.ucv.ve/bitstream/10872/20209/1/TESIS.pdf,,thesis_pdf_all/7821.pdf,True,True,False,escuela de psicologia
7820,20-Oct-2019,"Caracterización de la opinión de los estudiantes en psicología, terapia ocupacional y psiquiatría respecto a la terapia asistida con animales como procedimiento terapéutico de intervención.","Aponte, Alex; Araque, Magdalena; Cedré, Alexandra",1.28 MB,http://saber.ucv.ve/handle/10872/20208,http://saber.ucv.ve/bitstream/10872/20208/1/CLI19-TEGAponte%2c%20A.%2cAraque%2c%20M.%2cCedr%c3%a9%2c%20A..pdf,,thesis_pdf_all/7820.pdf,True,True,False,escuela de psicologia
7819,20-Oct-2019,Rasgos psicológicos en una muestra de emprendedores venezolanos exitosos.,"Aldana, Nicolás",2.37 MB,http://saber.ucv.ve/handle/10872/20207,http://saber.ucv.ve/bitstream/10872/20207/1/Rasgos%20Psicol%c3%b3gicos%20en%20una%20Muestra%20de%20emprendedores%20Venezolanos%20Exitosos.pdf,,thesis_pdf_all/7819.pdf,True,True,False,escuela de psicologia
7818,20-Oct-2019,Contingencias conductuales administradas por los entrenadores de fútbol ante el desempeño deportivo de los atletas.,"Hernández, Mariana",2.41 MB,http://saber.ucv.ve/handle/10872/20206,http://saber.ucv.ve/bitstream/10872/20206/1/CLI19-1TEG%20Hern%c3%a1ndez%2c%20M.pdf,,thesis_pdf_all/7818.pdf,True,True,False,escuela de psicologia
7817,20-Oct-2019,Relación entre las habilidades sociales y la tecnodependencia a las redes sociales en estudiantes de psicología de la Universidad Central de Venezuela.,"Arteaga, Francis; Ortega, María",3.4 MB,http://saber.ucv.ve/handle/10872/20214,http://saber.ucv.ve/bitstream/10872/20214/1/CLI19-1TEGArteaga%2cF%20y%20Ortega%2c%20M..pdf,,thesis_pdf_all/7817.pdf,True,True,False,escuela de psicologia
