index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
7020,7-Jun-2018,Desarrollo de un directorio temático sobre gastronomía venezolana,"Bolívar, Daniela; Rosales, Suheil",2.13 MB,http://saber.ucv.ve/handle/10872/18684,http://saber.ucv.ve/bitstream/10872/18684/1/tesis.pdf,,thesis_pdf_all/7020.pdf,True,True,False,escuela de bibliotecologia y archivologia
7019,7-Jun-2018,Índice del correo del Orinoco semillero de la causa Patriótica 1818-1822.,"de Sousa, Elda",558.65 kB,http://saber.ucv.ve/handle/10872/18683,http://saber.ucv.ve/bitstream/10872/18683/1/TESIS%20CORREO%20DEL%20ORINOCO%20LISTA.pdf,,thesis_pdf_all/7019.pdf,True,True,False,escuela de bibliotecologia y archivologia
7018,7-Jun-2018,"Sistema virtual de recursos y servicios de información académica aplicado a estudiantes de secundaria del Colegio ""San Agustín del Marqués"".","Buonocore S., Valerie G.",2.13 MB,http://saber.ucv.ve/handle/10872/18682,http://saber.ucv.ve/bitstream/10872/18682/1/TESIS%20BIBLIOTECOLOGIA%20-%20VALERIE%20BUONOCORE.pdf,,thesis_pdf_all/7018.pdf,True,True,False,escuela de bibliotecologia y archivologia
7017,7-Jun-2018,Evaluación de los servicios de la Biblioteca “Pedro Grases de la Universidad Metropolitana,"Mata P, Nidia J.",2.8 MB,http://saber.ucv.ve/handle/10872/18681,http://saber.ucv.ve/bitstream/10872/18681/1/TEG-NIDIA%20MATA.pdf,,thesis_pdf_all/7017.pdf,True,True,False,escuela de bibliotecologia y archivologia
7016,7-Jun-2018,Servicio de información en línea para el archivo de Recursos Humanos PDVSA área Metropolitana,"Márquez, César",1.69 MB,http://saber.ucv.ve/handle/10872/18679,http://saber.ucv.ve/bitstream/10872/18679/1/TEG%20Servicio%20de%20Informaci%c3%b3n%20en%20L%c3%adnea%20Archivo%20PDVSA%20%c3%81rea%20Metropolitana.pdf,,thesis_pdf_all/7016.pdf,True,True,False,escuela de bibliotecologia y archivologia
7015,7-Jun-2018,Diseño de instalaciones eléctricas del teatro la campiña,"Corona D., Diego J.",7.47 MB,http://saber.ucv.ve/handle/10872/18677,http://saber.ucv.ve/bitstream/10872/18677/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20CORONA%20DIEGO.pdf,,thesis_pdf_all/7015.pdf,True,True,False,escuela de ingenieria electrica
7014,7-Jun-2018,Estudio comparado de las políticas de acceso abierto de los trabajos científicos en los Repositorios Saber UCV y Saber ULA,"Ramìrez, Bertha; Flores, Johana",1.97 MB,http://saber.ucv.ve/handle/10872/18676,http://saber.ucv.ve/bitstream/10872/18676/1/TESIS%20COMPLETA%20CON%20EL%20ACTA%20PDF.pdf,,thesis_pdf_all/7014.pdf,True,True,False,escuela de bibliotecologia y archivologia
7013,7-Jun-2018,"Catálogo automatizado del sub-fondo colonia: sub-serie secretaría de interior y justicia, (1723-1810). Archivo General de la Nación “Generalísimo Francisco de Miranda”.","Farfán, Mariela Y.",5.78 MB,http://saber.ucv.ve/handle/10872/18691,http://saber.ucv.ve/bitstream/10872/18691/1/Tesis.pdf,,thesis_pdf_all/7013.pdf,True,True,False,escuela de bibliotecologia y archivologia
7012,6-Jun-2018,Diseño de un directorio web de los archivos de la Universidad Central de Venezuela ubicados en el campus de Caracas,"Delgado Pérez, Mariela Cenovia",891.55 kB,http://saber.ucv.ve/handle/10872/18643,http://saber.ucv.ve/bitstream/10872/18643/1/Tesis.pdf,,thesis_pdf_all/7012.pdf,True,True,False,escuela de bibliotecologia y archivologia
7010,6-Jun-2018,Campaña para el comportamiento lector en estudiantes de sexto grado del Centro de Estudios “Cecilio Acosta”,"Villegas Zabaleta, María Alejandra",1.69 MB,http://saber.ucv.ve/handle/10872/18657,http://saber.ucv.ve/bitstream/10872/18657/1/Tesis%20MARIA%20ALEJANDRA%20VILLEGAS%20Z.pdf,,thesis_pdf_all/7010.pdf,True,True,False,escuela de bibliotecologia y archivologia
6997,6-Jun-2018,Plan estratégico de mercadeo digital a través de redes sociales para el Centro de Documentación del diario El Universal,"Carrillo Velásquez, Michelle Andreina",2.71 MB,http://saber.ucv.ve/handle/10872/18644,http://saber.ucv.ve/bitstream/10872/18644/1/Tesis%20Crisn%c3%a9%20Sulbaran%20Michelle%20Carrillo%20CD%20El%20Universal.pdf,,thesis_pdf_all/6997.pdf,True,True,False,escuela de bibliotecologia y archivologia
7009,6-Jun-2018,Cartografiado del sistema hidráulico de la hacienda la floresta en caracas durante los siglos XVIII y XIX aplicando el método GROUND PENETRATING RADAR (GPR),"Fuenmayor J., Carlos E.",8.38 MB,http://saber.ucv.ve/handle/10872/18639,http://saber.ucv.ve/bitstream/10872/18639/1/CARLOS%20FUENMAYOR.pdf,,thesis_pdf_all/7009.pdf,True,True,False,"escuela de geologia, minas y geofisica"
7008,6-Jun-2018,"Propuesta para la creación de un archivo digital para el departamento de imagen y publicidad de la compañía Distribuidora Rower, C.A.","De la Barrera, Cynthia",9.91 MB,http://saber.ucv.ve/handle/10872/18638,http://saber.ucv.ve/bitstream/10872/18638/1/TESIS%20FINAL.pdf,,thesis_pdf_all/7008.pdf,True,True,False,escuela de bibliotecologia y archivologia
7007,6-Jun-2018,"Gestión documental aplicada en los departamentos de registros y estadísticas de salud en los hospitales tipo iv, Venezuela","Giménez, Nixy; Ramírez, Eduardo; Valera, Mayrolys",1.54 MB,http://saber.ucv.ve/handle/10872/18656,http://saber.ucv.ve/bitstream/10872/18656/1/Tesis_%20Gestion_Documental_Aplicada_en_los_Departamentos_de_R.pdf,,thesis_pdf_all/7007.pdf,True,True,False,escuela de bibliotecologia y archivologia
7006,6-Jun-2018,"Organización, representación, preservación y difusión de la fotografía digital: diseño de un sistema de gestión documental fotográfico e implantación prototipo de una fototeca en línea para la Fundación Infocentro. Año 2012","Flores M., Luis M.",14.47 MB,http://saber.ucv.ve/handle/10872/18640,http://saber.ucv.ve/bitstream/10872/18640/1/Flores%20.pdf,,thesis_pdf_all/7006.pdf,True,True,False,escuela de bibliotecologia y archivologia
7005,6-Jun-2018,Propuesta para organización y descripción de los expedientes del archivo de egresado de la Universidad Nacional Experimental Politécnica de la Fuerza Armada Nacional (UNEFA en el periodo 1995-2000),"Aguilera, Abrahán; Pastrán, Manuel; Vergara, Guillmeyer",3.48 MB,http://saber.ucv.ve/handle/10872/18655,http://saber.ucv.ve/bitstream/10872/18655/1/Tesis%20Aguilera%2c%20Pastran%2c%20Vergara.pdf,,thesis_pdf_all/7005.pdf,True,True,False,escuela de bibliotecologia y archivologia
7004,6-Jun-2018,Sistema de Digitalización para los expedientes del Archivo de Recursos Humanos de la Clínica El Ávila-Caracas,"Da Costa, Cleidy",1.98 MB,http://saber.ucv.ve/handle/10872/18654,http://saber.ucv.ve/bitstream/10872/18654/1/TRABAJO%20DE%20LICENCIATURA.%20SISTEMA%20DE%20DIGITALIZACION%20CLINICA%20E.pdf,,thesis_pdf_all/7004.pdf,True,True,False,escuela de bibliotecologia y archivologia
7003,6-Jun-2018,Plan estratégico de mercadeo para la promoción de los servicios del Centro de Documentación ‘’Walter Dupouy’’,"López Antón, Diana G.; Marquez Mota, José M.",1.81 MB,http://saber.ucv.ve/handle/10872/18653,http://saber.ucv.ve/bitstream/10872/18653/1/Plan%20estrat%c3%a9gico%20de%20mercadeo%20para%20los%20servicios%20del%20Centro%20de%20Documentaci%c3%b3n%20Walter%20Dupouy.pdf,,thesis_pdf_all/7003.pdf,True,True,False,escuela de bibliotecologia y archivologia
7002,6-Jun-2018,Actualización del Manual de Normas y Procedimientos del archivo de Recursos Humanos del Banco Mercantil,"Mejías Volcán, Natassha N.",1.36 MB,http://saber.ucv.ve/handle/10872/18652,http://saber.ucv.ve/bitstream/10872/18652/1/TESIS%20DE%20NATASSHA%20MEJIAS%20-%20FINAL.pdf,,thesis_pdf_all/7002.pdf,True,True,False,escuela de bibliotecologia y archivologia
