index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
1482,30-Jan-2013,Sistema de información georeferenciada de las obras de arte de la Ciudad Universitaria de Caracas,"Herize, Luis M.",2.61 MB,http://saber.ucv.ve/handle/10872/2577,http://saber.ucv.ve/bitstream/10872/2577/1/CD%20Tesis%20I2002%20H548.pdf,,thesis_pdf_all/1482.pdf,True,True,False,No School
1481,30-Jan-2013,"“Caracterización del yacimiento rg-135, arena co-cu, que actualmente cuenta con reservas negativas, para el estudio de la posible comunicación con otro yacimiento , mediante la realización del modelo dinámico, campo Santa Rosa”.","Haefeli, Virginia I.",4.01 MB,http://saber.ucv.ve/handle/10872/2576,http://saber.ucv.ve/bitstream/10872/2576/1/CD%20Tesis%20I2002%20H133.pdf,,thesis_pdf_all/1481.pdf,True,True,False,escuela de ingenieria de petroleo
1480,30-Jan-2013,Desarrollo de una metodología de análisis de costo de ciclo de vida para una planta compresora de gas natural de la industria petrolera,"Guzmán, Yván A.",2.25 MB,http://saber.ucv.ve/handle/10872/2575,http://saber.ucv.ve/bitstream/10872/2575/1/tesis%20de%20grado.pdf,,thesis_pdf_all/1480.pdf,True,True,False,No School
1479,30-Jan-2013,Actualización de la línea de fabricación de adhesivos en base a agua,"Fernández, Roberto A.; Hernández, Daniel E.",1.9 MB,http://saber.ucv.ve/handle/10872/2574,http://saber.ucv.ve/bitstream/10872/2574/1/CD%20Tesis%20I2002%20F363.3.pdf,,thesis_pdf_all/1479.pdf,True,True,False,No School
1478,30-Jan-2013,"“ Uso de la Técnica de rotación de Alford en la determinación del rumbo de fracturas verticales, y un enfoque analítico – numérico en el estudio de las polarizaciones de las Ondas qS para determinar propiedades de fracturas en medios anisótropos”.","Falcón, Roberto A.",4.33 MB,http://saber.ucv.ve/handle/10872/2573,http://saber.ucv.ve/bitstream/10872/2573/1/CD%20Tesis%20F181.pdf,,thesis_pdf_all/1478.pdf,True,True,False,"escuela de geologia, minas y geofisica"
1477,29-Jan-2013,Estudio de factibilidad técnico-económico para la instalación de un sistema autónomo de arranque (blackstart) en “Planta Centro”,"Duarte, César; Pino, Leonardo",7.74 MB,http://saber.ucv.ve/handle/10872/2570,http://saber.ucv.ve/bitstream/10872/2570/1/CD%20Tesis%20I2002%20D812.pdf,,thesis_pdf_all/1477.pdf,True,True,False,No School
1504,30-Jan-2013,Liderazgo gerencial del personal directivo de enfermería del Hospital Universitario “Dr. Manuel Núñez Tovar” de Maturín 1er trimestre año 2005,"Venales, Amarelis; Velásquez, Doris; Brito, Luisa",500.02 kB,http://saber.ucv.ve/handle/10872/2608,http://saber.ucv.ve/bitstream/10872/2608/1/Tesis%20de%20Grado.pdf,,thesis_pdf_all/1504.pdf,True,True,False,escuela de enfermeria
1505,30-Jan-2013,"Clima organizacional dada la satisfacción laboral de las enfermeras de atención directa (EAD) en las unidades clínicas de la Clínica “Vista Alegre” parroquia el Paraíso, Distrito Capital, segundo semestre del año 2004","Villarroel, Francy",24.17 MB,http://saber.ucv.ve/handle/10872/2611,http://saber.ucv.ve/bitstream/10872/2611/1/Tesis%20Clima%20Organizacional.pdf,,thesis_pdf_all/1505.pdf,True,True,False,escuela de enfermeria
1506,30-Jan-2013,Propuesta de capacitación a familiares sobre las medidas de rehabilitación del anciano con trastornos osteomusculares que egresan de la Unidad de Traumatología del Hospital Universitario de Caracas período septiembre – diciembre 2005.,"Acosta, Adriana; Antoranz, Víctor; Vanegas, Kizzy",270.44 kB,http://saber.ucv.ve/handle/10872/2614,http://saber.ucv.ve/bitstream/10872/2614/1/VICTOR.pdf,,thesis_pdf_all/1506.pdf,True,True,False,escuela de enfermeria
1521,31-Jan-2013,Determinación del cañoneo óptimo de un pozo,"Paredes, Jorge L.",1.4 MB,http://saber.ucv.ve/handle/10872/2629,http://saber.ucv.ve/bitstream/10872/2629/1/CD%20Tesis%20I2002%20P227.pdf,,thesis_pdf_all/1521.pdf,True,True,False,escuela de ingenieria de petroleo
