index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
1,2009,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,,thesis_pdf_all/1.pdf,True,True,False,escuela de ingenieria electrica
5539,29-Mar-2017,"Diseño de manejo de aguas de mina, en el PIT baqueta de la Mina Paso Diablo, Edo. Zulia, como aporte al desarrollo sustentable de la región","Van Zanten V., Johan O.",6.7 MB,http://saber.ucv.ve/handle/10872/15542,http://saber.ucv.ve/bitstream/10872/15542/1/TESIS.pdf,,thesis_pdf_all/5539.pdf,True,True,False,"escuela de geologia, minas y geofisica"
5573,30-Mar-2017,Identificación y cuantificación de hidrocarburos aromáticos policíclicos en muestras de aire de ambientes de trabajo por cromatografía de gases acoplada a espectrometría de masas,"Hergueta Possamai, Verónica Yrama",3.63 MB,http://saber.ucv.ve/handle/10872/15578,http://saber.ucv.ve/bitstream/10872/15578/1/TEG.pdf,,thesis_pdf_all/5573.pdf,True,True,False,escuela de quimica
5572,30-Mar-2017,Evaluación de catalizadores soportados de Pd-Mo para el hidrotratamiento profundo de light cycle oil,"Tovar Flores, Manuel Enrique",2.91 MB,http://saber.ucv.ve/handle/10872/15579,http://saber.ucv.ve/bitstream/10872/15579/1/EVALUACI%c3%93N%20DE%20CATALIZADORES%20SOPORTADOS%20DE%20Pd-Mo%20PARA%20EL%20HIDROTRATAMIENTO%20PROFUNDO%20DE%20LIGHT%20CYCLE%20.pdf,,thesis_pdf_all/5572.pdf,True,True,False,escuela de quimica
5571,30-Mar-2017,Estudio de la solubilidad para sistemas binarios gas – líquidos en condiciones supercríticas por medidas de índice de refracción,"Rampersad Avilán, Jeniree G.",1.55 MB,http://saber.ucv.ve/handle/10872/15580,http://saber.ucv.ve/bitstream/10872/15580/1/tesis%20lista%20jeniree.pdf,,thesis_pdf_all/5571.pdf,True,True,False,escuela de quimica
5570,30-Mar-2017,Determinación del alelo HLA-B27 y de los genes KIR3D en pacientes con diagnóstico presuntivo de espondilitis anquilosante,"García Márquez, Isabel Cristina",1.95 MB,http://saber.ucv.ve/handle/10872/15581,http://saber.ucv.ve/bitstream/10872/15581/3/TEG%20Isabel.%20Revisado%20MFM%2003_mayo_2015FINAL.pdf,,thesis_pdf_all/5570.pdf,True,True,False,escuela de biologia
5569,30-Mar-2017,Potencial de generación de dioxinas y furanos en el proceso de reformación catalítica de naftas,"Betancor O., Mayerly T.; Sawaya S., Krystel",1.52 MB,http://saber.ucv.ve/handle/10872/15583,http://saber.ucv.ve/bitstream/10872/15583/1/TEG%20Potencial%20generaci%c3%b3n%20de%20Dioxinas%20y%20Furanos%20en%20el%20Proceso%20de%20Reformaci%c3%b3n%20Catal%c3%adtica%20de%20Naftas%20Desbloqueada.pdf,,thesis_pdf_all/5569.pdf,True,True,False,escuela de ingenieria quimica
5568,30-Mar-2017,"Deshidrogenación oxidativa de N-butano sobre catalizadores másicos y soportados de óxidos de vanadio y magnesio. Preparación, comprobación y comparación de su comportamiento","Dávila A., Katherine D.; Ojeda C., David A.",1.26 MB,http://saber.ucv.ve/handle/10872/15584,http://saber.ucv.ve/bitstream/10872/15584/1/TEG%20Davila%26Ojeda.pdf,,thesis_pdf_all/5568.pdf,True,True,False,escuela de ingenieria quimica
5567,30-Mar-2017,Aplicación para la Gestión de Proyectos en Ambientes Sociales y Colaborativos bajo el enfoque de la Web 2.0,"Conesa Izquierdo, Elisa",2.35 MB,http://saber.ucv.ve/handle/10872/15575,http://saber.ucv.ve/bitstream/10872/15575/1/docTEG.pdf,,thesis_pdf_all/5567.pdf,True,True,False,escuela de computacion
5566,29-Mar-2017,Caracterización geofísica del suelo somero mediante la aplicación del método de refracción por microtremores (ReMi) en la ciudad de Maracay-Estado Aragua,"Casalena G., Mauro R.",12.95 MB,http://saber.ucv.ve/handle/10872/15572,http://saber.ucv.ve/bitstream/10872/15572/1/Caracterizaci%c3%b3n%20geof%c3%adsica%20del%20suelo%20somero%20mediante%20la%20aplicaci%c3%b3n%20del%20m%c3%a9todo%20de%20refracci%c3%b3n%20por%20microtremores%20%28ReMi%29%20en%20la%20ciudad%20de%20Maracay-Estado%20Aragua.pdf,,thesis_pdf_all/5566.pdf,True,True,False,"escuela de geologia, minas y geofisica"
