index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple
1888,3-Oct-2013,Sistema de iluminación exterior de la Facultad de Ingeniería a través de tecnologías L.E.D. y fuentes alternas de energía. Caso de estudio: Exteriores de los edificios de las escuelas de Ingeniería Química y de Ingeniería Eléctrica,"Bustamante, Benjamín J.",18.1 MB,http://saber.ucv.ve/handle/10872/4295,http://saber.ucv.ve/bitstream/10872/4295/1/tesis%20000024-2012.pdf,,thesis_pdf_all/1888.pdf,True,True,False,escuela de ingenieria electrica
1887,1-Oct-2013,Análisis del comportamiento a altas temperaturas de las juntas de concreto endurecido con concreto fresco utilizando adhesivo epóxico,"Gil, Carlos A.; Schussler, Javier A.",5.75 MB,http://saber.ucv.ve/handle/10872/4288,http://saber.ucv.ve/bitstream/10872/4288/1/TEG.pdf,,thesis_pdf_all/1887.pdf,True,True,False,escuela de ingenieria civil
1886,1-Oct-2013,"Propuesta de cambios de cubiertas de techos con instalación de paneles solares y sistemas de captación y almacenamiento de aguas pluviales, en los galpones de aulas del Núcleo Armando Mendoza de la Facultad de Ingeniería de la UCV, Cagua","Hernández, David R.",7.24 MB,http://saber.ucv.ve/handle/10872/4278,http://saber.ucv.ve/bitstream/10872/4278/1/TEG%20David%20R.%20Bravo%20H.pdf,,thesis_pdf_all/1886.pdf,True,True,False,escuela de ingenieria civil
1885,1-Oct-2013,Definición de los esquemas de protección y análisis del impacto de la generación distribuida en la red de distribución caso Cantarrana (Charallave),"Veracierta, Pedro C.",1.81 MB,http://saber.ucv.ve/handle/10872/4283,http://saber.ucv.ve/bitstream/10872/4283/1/Tesis%20000019-2012.pdf,,thesis_pdf_all/1885.pdf,True,True,False,escuela de ingenieria electrica
1884,1-Oct-2013,Criterios de diseño para la construcción de viviendas unifamiliares de mamposteria armada en Venezuela,"Cárdenas, Jozmiguel; González, José",1.46 MB,http://saber.ucv.ve/handle/10872/4272,http://saber.ucv.ve/bitstream/10872/4272/1/Tesis%20000013-2012.pdf,,thesis_pdf_all/1884.pdf,True,True,False,escuela de ingenieria civil
1883,1-Oct-2013,"Diseño e implementación de un laboratorio de pruebas para interruptores de potencia hasta 34,5kV","Vila, Abelardo C.",3.16 MB,http://saber.ucv.ve/handle/10872/4282,http://saber.ucv.ve/bitstream/10872/4282/1/Tesis%20000018-2012.pdf,,thesis_pdf_all/1883.pdf,True,True,False,escuela de ingenieria electrica
1882,1-Oct-2013,"Diseño de un sistema de supervisión, adquisición y control para las estaciones de radares meteorológicos del Instituto Nacional de Meteorología e Hidrología (INAMEH)","Malavé, Luis D.",20.01 MB,http://saber.ucv.ve/handle/10872/4281,http://saber.ucv.ve/bitstream/10872/4281/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20LUIS%20D%20MALAVE%20R%20final%20pdf.pdf,,thesis_pdf_all/1882.pdf,True,True,False,escuela de ingenieria electrica
1881,1-Oct-2013,"Estudio geológico-geotécnico de los taludes de la Urb. La Quinta, Los Teques, Municipio Guaicaipuro, Edo. Miranda","Solórzano, Naiker; Zurita, Patricia",6.04 MB,http://saber.ucv.ve/handle/10872/4270,http://saber.ucv.ve/bitstream/10872/4270/1/Estudio%20Geolg%c3%b3gico-Geot%c3%a9cnico%20de%20los%20taludes%20de%20la%20Urb%20la%20Qu.pdf,,thesis_pdf_all/1881.pdf,True,True,False,"escuela de geologia, minas y geofisica"
1880,1-Oct-2013,Estudio de factibilidad en la implementación de un sistema basado en paneles fotovoltaicos para reducir el consumo de energía eléctrica en la Facultad de Ingeniería U.C.V.,"Sánchez, Bernie J.",5.65 MB,http://saber.ucv.ve/handle/10872/4287,http://saber.ucv.ve/bitstream/10872/4287/1/Tesis%20000020-2012.pdf,,thesis_pdf_all/1880.pdf,True,True,False,escuela de ingenieria electrica
1879,1-Oct-2013,"Comparación de la norma venezolana COVENIN 1756:2001 'Edificaciones sismorresistentes', con la norma chilena oficial NCh433.Of96 mod. 2009 'Diseño sísmico de edificios' y su propuesta de norma técnica de emergencia","Cámara, Lisseth M.; Sánchez, Marianna A.",3.02 MB,http://saber.ucv.ve/handle/10872/4280,http://saber.ucv.ve/bitstream/10872/4280/1/TEG_Camara_Sanchez.pdf,,thesis_pdf_all/1879.pdf,True,True,False,escuela de ingenieria civil
